Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
1. Totals are not available for these results due to suppression constraints. More Information:									
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.									
2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.									
---									
Caveats:									
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"									
http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision.									
2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:									
http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality.									
3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:									
http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.									
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"									
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"									
http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated.									
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"									
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"									
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"									
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"									
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"									
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"									
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"									
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"									
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"									
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"									
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"									
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"									
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"									
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"									
are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident									
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"									
figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1									
estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population									
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"									
were available at the time of release.									
"6. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"									
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"									
in information available to individual states and probable errors. Caution should be used in interpreting these data. More									
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.									
