"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","6,039,316","3,796,086","2,833,385","2,243,230","16,379,567","10,393,633","7,482,329","5,985,934","19,007,025","11,903,701","8,786,267","7,103,324","8,674,632","5,438,373","4,226,443","3,236,259","25,920,577","16,770,478","12,146,096","9,150,099","7,653,247","4,956,579","3,557,170","2,696,668","15,311,813","10,288,799","7,396,134","5,023,014","9,643,245","6,272,331","4,726,837","3,370,914","18,915,308","12,645,006","9,205,423","6,270,302"
"    Less than $10,000","5.1%","2.9%","1.2%","9.7%","6.2%","3.7%","1.5%","11.4%","6.1%","3.6%","1.4%","11.4%","5.2%","2.8%","1.1%","10.1%","6.2%","3.8%","1.7%","11.5%","7.6%","4.8%","1.8%","14.1%","6.7%","4.4%","1.8%","12.6%","5.7%","3.5%","1.7%","10.6%","5.3%","3.4%","1.7%","10.1%"
"    $10,000 to $14,999","3.7%","1.6%","0.8%","7.6%","4.0%","2.0%","1.0%","7.7%","3.8%","1.9%","0.9%","7.4%","3.8%","1.6%","0.8%","7.7%","3.8%","2.0%","1.0%","7.3%","5.2%","2.7%","1.3%","10.1%","4.2%","2.6%","1.4%","7.9%","3.3%","1.8%","1.1%","6.4%","3.4%","1.7%","1.0%","7.1%"
"    $15,000 to $24,999","6.7%","3.8%","2.0%","12.2%","7.1%","4.6%","2.8%","12.1%","7.8%","4.6%","2.5%","13.7%","7.5%","4.2%","2.5%","13.6%","7.9%","5.3%","3.3%","13.1%","9.7%","6.7%","4.0%","16.0%","8.5%","6.1%","3.8%","14.0%","6.8%","4.3%","2.8%","12.1%","6.0%","4.5%","3.0%","10.0%"
"    $25,000 to $34,999","6.4%","4.6%","2.8%","10.0%","7.0%","5.4%","3.7%","10.5%","8.4%","6.1%","4.0%","12.7%","8.2%","5.7%","3.7%","13.1%","8.2%","6.7%","4.7%","11.6%","9.5%","7.9%","5.8%","12.8%","8.8%","7.5%","5.4%","12.1%","7.7%","6.0%","4.4%","11.4%","6.2%","5.3%","3.7%","9.0%"
"    $35,000 to $49,999","9.2%","7.6%","5.8%","12.4%","10.1%","8.9%","6.9%","12.5%","12.1%","10.4%","8.3%","15.6%","12.2%","10.2%","8.1%","16.3%","11.6%","10.5%","8.6%","14.3%","13.2%","12.0%","10.1%","15.4%","12.2%","11.3%","9.3%","14.5%","11.6%","10.2%","8.3%","14.9%","9.4%","8.6%","6.8%","11.7%"
"    $50,000 to $74,999","14.6%","13.6%","12.1%","16.5%","15.4%","14.8%","13.4%","16.6%","17.9%","17.8%","16.9%","17.8%","18.1%","17.7%","16.8%","18.5%","17.2%","17.0%","16.1%","17.4%","17.7%","18.6%","18.7%","15.8%","17.5%","17.4%","16.9%","17.1%","17.7%","17.3%","16.5%","18.2%","15.1%","14.7%","13.4%","16.1%"
"    $75,000 to $99,999","12.1%","13.0%","12.9%","10.7%","12.3%","13.3%","13.5%","10.3%","13.3%","15.3%","16.6%","9.3%","13.8%","16.0%","17.2%","9.2%","12.7%","14.1%","15.1%","9.6%","12.5%","14.9%","17.2%","7.4%","12.3%","13.6%","14.9%","8.7%","13.4%","14.9%","15.7%","10.1%","12.5%","13.0%","12.9%","11.0%"
"    $100,000 to $149,999","17.9%","21.0%","23.3%","11.4%","16.6%","19.7%","22.3%","10.2%","16.1%","20.6%","24.5%","7.6%","16.5%","21.4%","24.9%","7.3%","15.7%","18.8%","22.1%","8.9%","13.6%","17.6%","21.8%","5.4%","15.2%","18.2%","22.0%","7.9%","17.2%","20.7%","23.6%","9.6%","17.7%","19.7%","21.6%","12.6%"
"    $150,000 to $199,999","10.1%","12.8%","15.4%","4.5%","8.9%","11.3%","13.8%","4.0%","7.1%","9.5%","11.9%","2.4%","7.4%","10.1%","12.3%","2.2%","7.5%","9.5%","11.9%","3.1%","5.6%","7.5%","9.8%","1.6%","6.9%","8.8%","11.3%","2.6%","7.9%","10.0%","12.0%","3.4%","9.8%","11.4%","13.6%","5.6%"
"    $200,000 or more","14.1%","19.0%","23.7%","4.9%","12.4%","16.3%","20.9%","4.6%","7.4%","10.3%","13.1%","2.2%","7.3%","10.3%","12.6%","1.9%","9.1%","12.0%","15.6%","3.2%","5.4%","7.3%","9.6%","1.4%","7.8%","10.1%","13.3%","2.5%","8.7%","11.2%","13.9%","3.4%","14.5%","17.7%","22.3%","6.8%"
"Median income (dollars)","82,987","104,939","124,322","47,138","75,281","94,424","113,488","44,098","65,554","83,454","99,050","39,167","67,426","86,637","99,687","39,700","67,025","82,326","99,118","41,196","55,592","71,122","86,451","32,208","62,814","76,405","93,787","37,819","70,882","85,325","99,201","43,928","83,332","97,340","114,958","52,034"
"Mean income (dollars)","115,625","140,002","161,547","69,158","107,907","128,804","150,735","66,604","89,124","107,671","124,638","54,423","90,719","110,354","124,772","53,933","94,705","111,518","130,206","59,486","77,676","93,171","109,810","45,884","88,130","102,620","121,090","54,414","96,257","111,762","126,744","62,368","117,409","133,304","154,150","77,736"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","39.3%","(X)","(X)","(X)","42.1%","(X)","(X)","(X)","37.2%","(X)","(X)","(X)","34.8%","(X)","(X)","(X)","40.1%","(X)","(X)","(X)","39.7%","(X)","(X)","(X)","39.7%","(X)","(X)","(X)","37.5%","(X)","(X)","(X)","38.8%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","41.1%","(X)","(X)","(X)","44.6%","(X)","(X)","(X)","38.9%","(X)","(X)","(X)","35.7%","(X)","(X)","(X)","41.7%","(X)","(X)","(X)","41.3%","(X)","(X)","(X)","41.9%","(X)","(X)","(X)","39.0%","(X)","(X)","(X)","40.9%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","34.9%","(X)","(X)","(X)","36.2%","(X)","(X)","(X)","33.2%","(X)","(X)","(X)","32.0%","(X)","(X)","(X)","35.7%","(X)","(X)","(X)","35.2%","(X)","(X)","(X)","33.7%","(X)","(X)","(X)","32.9%","(X)","(X)","(X)","32.4%"
