"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,621,832","3,606,282","2,691,814","2,015,550","15,292,900","9,992,741","7,148,744","5,300,159","17,790,659","11,591,991","8,575,819","6,198,668","8,086,472","5,254,551","4,069,195","2,831,921","22,515,460","14,838,563","10,693,788","7,676,897","7,065,099","4,738,319","3,394,380","2,326,780","13,122,752","9,004,594","6,444,283","4,118,158","8,172,315","5,396,782","4,047,881","2,775,533","17,324,236","11,660,183","8,453,744","5,664,053"
"Less than $10,000","6.6%","3.7%","1.2%","12.8%","7.5%","4.6%","1.4%","14.2%","8.1%","5.2%","1.6%","14.8%","7.1%","4.1%","1.3%","14.0%","8.2%","5.3%","1.9%","15.2%","10.5%","6.7%","2.2%","19.6%","8.7%","6.0%","2.1%","16.4%","7.5%","5.1%","2.0%","13.8%","6.4%","4.6%","1.9%","12.0%"
"$10,000 to $14,999","5.3%","2.6%","1.2%","10.4%","5.4%","3.2%","1.7%","9.9%","5.9%","3.4%","1.5%","11.0%","5.6%","2.8%","1.3%","11.2%","5.9%","3.7%","2.0%","10.8%","7.4%","4.6%","2.3%","13.7%","6.4%","4.1%","2.3%","11.8%","5.4%","3.3%","1.9%","10.0%","5.3%","3.4%","1.9%","10.1%"
"$15,000 to $24,999","9.6%","6.6%","3.9%","15.6%","10.6%","7.7%","5.0%","16.7%","11.9%","8.5%","5.3%","18.9%","11.3%","7.8%","5.2%","18.4%","11.7%","9.3%","6.3%","17.1%","13.8%","11.3%","7.9%","19.2%","12.3%","10.3%","7.2%","17.3%","11.5%","8.7%","6.4%","17.5%","10.3%","8.7%","6.3%","14.6%"
"$25,000 to $34,999","8.8%","7.6%","5.6%","11.5%","9.5%","8.2%","6.5%","12.0%","11.0%","9.4%","7.7%","14.2%","11.0%","9.2%","7.3%","14.8%","11.0%","10.1%","8.2%","13.0%","12.0%","11.1%","9.7%","13.9%","11.2%","10.6%","8.8%","12.8%","11.0%","9.7%","8.3%","13.9%","9.6%","8.7%","7.1%","11.6%"
"$35,000 to $49,999","12.0%","11.1%","9.5%","13.7%","12.6%","12.1%","10.8%","13.6%","14.4%","14.0%","13.2%","14.9%","14.8%","14.0%","13.1%","16.0%","14.1%","13.9%","13.0%","14.3%","14.8%","15.1%","15.2%","14.0%","14.2%","13.9%","13.2%","14.8%","14.9%","14.6%","13.8%","15.4%","13.1%","12.7%","11.6%","13.9%"
"$50,000 to $74,999","17.0%","17.3%","17.3%","16.0%","17.4%","18.3%","18.6%","15.0%","18.9%","20.9%","22.6%","14.4%","19.5%","21.7%","23.2%","14.6%","18.0%","19.2%","20.7%","14.7%","17.2%","19.9%","22.6%","11.2%","17.5%","18.8%","20.4%","13.8%","18.9%","20.5%","21.8%","15.0%","17.6%","18.0%","18.3%","15.9%"
"$75,000 to $99,999","13.0%","14.9%","16.6%","8.7%","12.1%","14.0%","15.8%","8.0%","11.9%","14.7%","17.5%","6.0%","12.6%","15.9%","18.6%","5.7%","11.2%","13.2%","15.6%","6.5%","10.3%","13.0%","16.2%","4.2%","11.1%","13.1%","15.7%","6.0%","11.8%","14.1%","16.3%","6.9%","12.2%","13.5%","15.2%","8.8%"
"$100,000 to $149,999","15.0%","18.8%","22.8%","7.2%","13.5%","16.9%","20.6%","6.3%","11.2%","14.8%","18.6%","3.8%","11.6%","15.5%","18.9%","3.5%","11.4%","14.3%","18.0%","5.3%","8.9%","11.7%","15.1%","2.8%","11.1%","13.9%","17.7%","4.4%","11.6%","14.6%","17.9%","5.0%","13.9%","16.3%","19.6%","8.0%"
"$150,000 to $199,999","6.4%","8.6%","10.7%","2.1%","5.6%","7.3%","9.3%","2.2%","3.6%","4.9%","6.3%","1.0%","3.6%","4.9%","6.0%","1.0%","4.3%","5.5%","7.1%","1.6%","2.6%","3.5%","4.7%","0.6%","3.8%","4.8%","6.3%","1.3%","3.9%","5.0%","6.2%","1.3%","5.8%","7.0%","8.9%","2.6%"
"$200,000 or more","6.3%","8.7%","11.2%","1.9%","5.9%","7.7%","10.2%","2.3%","3.2%","4.3%","5.6%","1.0%","3.1%","4.2%","5.3%","0.8%","4.1%","5.4%","7.2%","1.4%","2.3%","3.1%","4.1%","0.7%","3.6%","4.6%","6.2%","1.3%","3.3%","4.3%","5.4%","1.2%","5.8%","7.1%","9.3%","2.5%"
"Median income (dollars)","60,549","76,341","91,334","34,616","55,528","68,641","83,350","32,208","48,504","60,730","72,431","28,512","50,200","63,061","73,495","29,177","48,606","58,902","72,036","30,170","40,816","51,232","62,904","23,489","46,587","55,980","69,451","28,127","49,465","59,358","69,849","30,939","56,474","65,617","79,437","36,467"
"Mean income (dollars)","82,583","98,958","115,461","50,184","78,472","92,195","108,950","49,534","64,801","76,926","89,887","39,840","65,741","78,748","89,892","39,350","68,065","79,361","93,569","43,690","56,468","66,679","79,141","33,930","65,127","74,989","88,850","40,979","65,915","76,208","87,168","43,232","78,227","88,128","102,494","53,402"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","28.9%","(X)","(X)","(X)","31.9%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","25.1%","(X)","(X)","(X)","30.2%","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","29.3%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","28.3%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","29.5%","(X)","(X)","(X)","32.9%","(X)","(X)","(X)","28.0%","(X)","(X)","(X)","25.0%","(X)","(X)","(X)","30.6%","(X)","(X)","(X)","29.0%","(X)","(X)","(X)","30.4%","(X)","(X)","(X)","27.9%","(X)","(X)","(X)","28.9%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","26.6%","(X)","(X)","(X)","28.5%","(X)","(X)","(X)","25.7%","(X)","(X)","(X)","23.9%","(X)","(X)","(X)","27.8%","(X)","(X)","(X)","25.8%","(X)","(X)","(X)","25.5%","(X)","(X)","(X)","25.8%","(X)","(X)","(X)","24.7%"
