"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,641,633","3,607,512","2,673,835","2,034,121","15,423,214","10,010,683","7,148,701","5,412,531","18,010,591","11,650,966","8,541,566","6,359,625","8,215,426","5,287,926","4,088,730","2,927,500","23,144,855","15,141,992","10,877,132","8,002,863","7,158,799","4,755,908","3,384,211","2,402,891","13,586,438","9,238,552","6,602,434","4,347,886","8,404,283","5,525,959","4,142,951","2,878,324","17,674,188","11,932,574","8,655,111","5,741,614"
"Less than $10,000","6.2%","3.6%","1.1%","11.8%","7.3%","4.4%","1.6%","13.6%","7.4%","4.7%","1.4%","13.7%","6.6%","3.7%","1.3%","12.9%","7.6%","4.8%","1.8%","14.0%","9.9%","6.4%","2.1%","18.3%","7.8%","5.2%","1.9%","15.0%","7.0%","4.6%","1.9%","13.3%","6.0%","4.2%","1.7%","11.5%"
"$10,000 to $14,999","4.8%","2.3%","0.9%","9.6%","4.9%","3.0%","1.5%","8.9%","5.1%","3.0%","1.3%","9.6%","5.0%","2.6%","1.2%","10.1%","5.4%","3.3%","1.6%","9.8%","6.8%","4.1%","2.1%","12.6%","5.7%","3.7%","1.9%","10.6%","4.9%","2.8%","1.6%","9.3%","4.9%","3.0%","1.6%","9.5%"
"$15,000 to $24,999","8.9%","5.7%","3.1%","15.2%","9.7%","6.9%","4.3%","15.5%","11.0%","7.5%","4.4%","18.1%","10.3%","6.7%","4.1%","17.7%","11.0%","8.4%","5.5%","16.5%","13.2%","10.3%","6.9%","19.3%","11.3%","9.2%","6.1%","16.7%","10.3%","7.6%","5.3%","16.2%","9.3%","7.6%","5.2%","13.7%"
"$25,000 to $34,999","8.5%","7.1%","5.2%","11.2%","9.0%","7.7%","5.9%","11.6%","10.5%","8.6%","6.7%","14.2%","10.4%","8.5%","6.5%","14.5%","10.5%","9.5%","7.6%","13.0%","11.6%","10.5%","8.6%","13.8%","10.6%","9.7%","7.9%","12.8%","10.5%","9.1%","7.6%","13.5%","9.0%","8.2%","6.6%","11.0%"
"$35,000 to $49,999","11.2%","10.3%","8.6%","13.3%","12.2%","11.6%","10.0%","13.5%","14.2%","13.4%","12.3%","15.6%","14.0%","12.9%","11.6%","16.1%","14.1%","13.7%","12.5%","14.8%","14.7%","14.7%","14.3%","14.3%","13.9%","13.4%","12.3%","14.7%","14.3%","13.6%","12.5%","15.7%","12.3%","11.9%","10.6%","13.3%"
"$50,000 to $74,999","16.5%","16.5%","15.9%","16.2%","16.9%","17.4%","17.3%","15.6%","18.7%","20.2%","21.3%","15.0%","19.3%","20.9%","21.8%","15.4%","17.8%","19.0%","19.9%","15.0%","17.4%","19.6%","22.1%","12.2%","17.7%","18.6%","19.6%","14.8%","18.9%","20.2%","20.9%","15.6%","17.1%","17.4%","17.2%","16.1%"
"$75,000 to $99,999","12.7%","14.5%","15.8%","9.0%","12.1%","13.7%","15.2%","8.5%","12.3%","15.0%","17.6%","6.6%","13.0%","16.1%","18.4%","6.5%","11.6%","13.4%","15.7%","7.3%","10.6%","13.3%","16.4%","4.7%","11.4%","13.2%","15.5%","6.7%","12.6%","14.8%","16.8%","7.7%","12.3%","13.3%","14.6%","9.5%"
"$100,000 to $149,999","15.8%","19.5%","23.4%","8.4%","14.4%","17.6%","21.4%","7.5%","12.5%","16.3%","20.3%","4.7%","12.9%","17.2%","20.7%","4.5%","12.2%","15.1%","18.7%","6.0%","9.9%","13.1%","16.9%","3.2%","12.2%","15.1%","19.1%","5.3%","12.7%","15.9%","19.1%","5.7%","14.9%","17.2%","20.4%","9.0%"
"$150,000 to $199,999","7.2%","9.5%","11.9%","2.6%","6.3%","8.2%","10.5%","2.5%","4.4%","5.9%","7.6%","1.2%","4.4%","6.0%","7.5%","1.2%","4.8%","6.2%","8.0%","1.9%","3.1%","4.2%","5.6%","0.8%","4.6%","5.8%","7.5%","1.7%","4.5%","5.8%","7.2%","1.6%","6.7%","8.1%","10.2%","3.2%"
"$200,000 or more","8.1%","10.9%","14.1%","2.6%","7.2%","9.4%","12.4%","2.7%","4.0%","5.5%","7.1%","1.2%","4.1%","5.6%","7.0%","1.1%","5.0%","6.6%","8.7%","1.7%","2.7%","3.7%","5.0%","0.8%","4.8%","6.1%","8.1%","1.8%","4.2%","5.5%","7.0%","1.4%","7.3%","9.0%","11.7%","3.2%"
