"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,652,060","3,588,596","2,663,944","2,063,464","15,341,344","9,889,296","7,124,983","5,452,048","18,191,136","11,613,549","8,562,450","6,577,587","8,275,953","5,276,827","4,091,750","2,999,126","23,689,701","15,455,385","11,181,569","8,234,316","7,217,801","4,731,090","3,389,326","2,486,711","13,868,473","9,409,575","6,752,849","4,458,898","8,635,329","5,674,484","4,280,604","2,960,845","17,988,268","12,147,160","8,920,323","5,841,108"
"Less than $10,000","5.6%","3.1%","1.0%","10.8%","6.7%","3.8%","1.4%","13.0%","6.9%","4.0%","1.4%","13.2%","5.9%","3.1%","1.1%","11.8%","7.0%","4.3%","1.7%","13.3%","9.1%","5.7%","2.0%","16.8%","7.3%","4.7%","1.8%","14.2%","6.4%","3.9%","1.7%","12.5%","5.4%","3.5%","1.5%","10.8%"
"$10,000 to $14,999","4.4%","2.0%","0.9%","8.8%","4.6%","2.6%","1.4%","8.5%","4.8%","2.6%","1.2%","9.0%","4.6%","2.3%","1.0%","9.2%","4.9%","2.8%","1.4%","9.3%","6.3%","3.7%","1.8%","11.6%","5.1%","3.2%","1.7%","9.6%","4.5%","2.6%","1.4%","8.8%","4.4%","2.5%","1.4%","8.8%"
"$15,000 to $24,999","8.0%","5.1%","2.8%","13.9%","9.1%","6.3%","3.9%","14.8%","10.2%","6.8%","3.8%","17.0%","9.6%","5.9%","3.5%","16.9%","10.0%","7.6%","4.7%","15.3%","12.1%","9.1%","5.8%","18.6%","10.6%","8.4%","5.4%","15.9%","9.5%","6.7%","4.5%","15.5%","8.4%","6.8%","4.6%","12.9%"
"$25,000 to $34,999","8.0%","6.3%","4.3%","11.5%","8.6%","7.4%","5.5%","11.3%","9.9%","8.0%","5.9%","13.6%","9.9%","7.8%","5.7%","14.2%","10.0%","8.7%","6.7%","12.7%","11.1%","10.0%","8.1%","13.3%","10.3%","9.3%","7.4%","12.9%","9.6%","8.1%","6.6%","12.9%","8.1%","7.3%","5.8%","10.4%"
"$35,000 to $49,999","11.1%","9.6%","7.8%","13.9%","11.6%","10.7%","9.0%","13.3%","13.6%","12.6%","11.1%","15.5%","13.9%","12.5%","10.7%","16.6%","13.6%","13.0%","11.4%","14.9%","14.3%","13.7%","13.0%","14.8%","13.6%","13.1%","11.8%","14.8%","13.8%","13.1%","11.6%","15.4%","11.7%","11.3%","9.6%","12.8%"
"$50,000 to $74,999","16.1%","15.7%","14.8%","16.6%","16.5%","16.7%","16.2%","15.8%","18.5%","19.5%","20.0%","16.1%","18.9%","19.9%","20.2%","16.5%","18.0%","18.8%","19.3%","15.7%","17.8%","19.6%","21.2%","13.7%","17.9%","18.4%","18.9%","15.9%","19.0%","20.0%","20.4%","16.5%","16.8%","16.8%","16.4%","16.4%"
"$75,000 to $99,999","12.8%","14.3%","15.1%","9.6%","12.2%","13.7%","14.8%","8.9%","12.7%","15.3%","17.6%","7.2%","13.3%","16.1%","18.4%","7.1%","12.1%","14.0%","16.0%","7.9%","11.4%","14.2%","17.3%","5.5%","11.6%","13.2%","15.3%","7.2%","13.0%","15.1%","16.8%","8.1%","12.5%","13.5%","14.5%","9.8%"
"$100,000 to $149,999","16.9%","20.8%","24.3%","9.0%","15.2%","18.5%","22.0%","8.2%","13.6%","17.7%","21.8%","5.4%","14.1%","18.8%","22.4%","5.0%","13.1%","16.1%","19.7%","6.7%","10.8%","14.2%","18.1%","3.8%","13.0%","16.0%","19.9%","5.9%","13.8%","17.1%","20.3%","6.6%","15.9%","18.0%","20.8%","10.2%"
