"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","6,153,123","3,831,390","2,850,789","2,321,733","16,671,933","10,464,425","7,493,166","6,207,508","19,346,826","11,931,763","8,800,448","7,415,063","8,956,768","5,539,082","4,293,712","3,417,686","26,964,692","17,402,583","12,633,222","9,562,109","7,960,991","5,116,804","3,675,008","2,844,187","15,916,536","10,555,014","7,565,862","5,361,522","10,037,610","6,431,503","4,837,888","3,606,107","19,323,881","12,773,120","9,271,093","6,550,761"
"    Less than $10,000","4.6%","2.6%","1.1%","8.5%","5.6%","3.3%","1.4%","10.2%","5.5%","3.1%","1.3%","9.9%","4.4%","2.3%","1.0%","8.5%","5.4%","3.3%","1.5%","10.1%","6.3%","4.1%","1.6%","11.3%","5.8%","3.7%","1.6%","10.9%","4.8%","3.0%","1.4%","9.2%","4.8%","2.9%","1.5%","9.4%"
"    $10,000 to $14,999","3.3%","1.4%","0.6%","6.7%","3.6%","1.8%","0.9%","6.9%","3.6%","1.7%","0.8%","7.0%","3.3%","1.3%","0.7%","6.7%","3.4%","1.7%","0.9%","6.7%","4.9%","2.4%","1.1%","9.7%","3.8%","2.1%","1.0%","7.6%","2.9%","1.5%","0.8%","5.6%","3.0%","1.5%","0.8%","6.2%"
"    $15,000 to $24,999","5.8%","3.2%","1.7%","10.7%","6.3%","4.0%","2.4%","10.5%","6.8%","3.8%","2.1%","12.1%","6.6%","3.3%","2.0%","12.3%","6.4%","4.0%","2.4%","11.2%","8.6%","5.6%","3.2%","14.6%","7.1%","4.9%","2.9%","12.1%","5.8%","3.6%","2.3%","10.4%","5.2%","3.6%","2.4%","9.1%"
"    $25,000 to $34,999","5.6%","3.8%","2.3%","9.0%","6.4%","4.7%","3.1%","9.8%","7.2%","4.9%","3.2%","11.5%","7.3%","4.7%","3.0%","12.0%","6.9%","5.4%","3.7%","10.4%","8.3%","6.4%","4.3%","12.4%","7.4%","6.0%","4.1%","10.8%","6.5%","4.7%","3.3%","10.2%","5.4%","4.5%","3.0%","7.9%"
"    $35,000 to $49,999","8.3%","6.7%","4.8%","11.6%","9.4%","8.0%","6.0%","12.5%","11.3%","9.1%","6.8%","15.6%","11.4%","8.8%","6.6%","16.4%","10.7%","9.3%","7.0%","14.0%","12.2%","10.7%","8.7%","15.2%","11.3%","9.9%","7.8%","14.6%","10.1%","8.6%","6.7%","13.6%","8.4%","7.4%","5.7%","10.8%"
"    $50,000 to $74,999","13.9%","12.6%","10.8%","16.8%","14.7%","13.8%","12.0%","16.7%","17.3%","16.6%","15.0%","18.7%","17.4%","16.4%","14.6%","19.5%","16.5%","16.0%","14.3%","17.9%","17.2%","17.2%","16.5%","17.1%","17.1%","16.4%","15.1%","18.2%","16.6%","15.4%","13.9%","19.1%","13.9%","13.2%","11.2%","15.9%"
"    $75,000 to $99,999","11.9%","12.1%","11.5%","11.4%","11.9%","12.5%","12.3%","10.8%","13.0%","14.4%","15.0%","10.1%","13.7%","15.4%","16.0%","10.3%","12.8%","13.7%","14.0%","10.7%","12.9%","14.8%","16.4%","8.5%","12.6%","13.9%","14.6%","9.6%","13.5%","14.6%","14.7%","11.5%","12.2%","12.5%","12.0%","11.5%"
"    $100,000 to $149,999","18.3%","20.9%","22.5%","13.1%","17.1%","19.7%","21.7%","11.6%","17.3%","21.7%","25.1%","9.2%","18.1%","22.9%","26.0%","9.1%","17.3%","20.3%","23.0%","10.7%","15.8%","20.0%","24.2%","7.2%","16.7%","19.7%","22.9%","9.5%","18.5%","22.0%","24.3%","11.2%","18.2%","19.9%","21.2%","13.7%"
