"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,599,293","3,576,286","2,663,224","2,023,007","15,304,878","10,016,118","7,206,219","5,288,760","17,834,981","11,712,418","8,676,938","6,122,563","8,085,944","5,237,577","4,078,136","2,848,367","22,393,004","14,819,384","10,726,421","7,573,620","7,020,162","4,745,580","3,399,795","2,274,582","12,976,347","8,936,690","6,404,621","4,039,657","8,131,913","5,418,454","4,084,155","2,713,459","17,220,897","11,626,538","8,465,272","5,594,359"
"Less than $10,000","6.8%","3.7%","1.1%","13.1%","7.4%","4.6%","1.5%","14.0%","7.7%","5.0%","1.6%","14.3%","7.0%","4.0%","1.3%","13.9%","8.1%","5.4%","2.0%","14.8%","10.3%","6.9%","2.3%","19.0%","8.3%","5.6%","1.9%","16.1%","7.3%","5.0%","2.1%","13.6%","6.2%","4.6%","1.9%","11.4%"
"$10,000 to $14,999","5.2%","2.6%","1.1%","10.2%","5.3%","3.1%","1.5%","9.9%","5.8%","3.3%","1.5%","10.9%","5.9%","3.0%","1.5%","11.8%","5.9%","3.6%","1.9%","10.8%","7.8%","4.8%","2.7%","14.6%","6.4%","4.3%","2.4%","11.6%","5.5%","3.4%","2.0%","10.4%","5.2%","3.2%","1.8%","10.1%"
"$15,000 to $24,999","9.5%","6.6%","4.0%","15.4%","10.5%","7.6%","5.0%","16.7%","12.2%","8.6%","5.5%","19.7%","11.7%","8.1%","5.4%","18.9%","11.7%","9.3%","6.4%","17.0%","13.9%","11.4%","8.1%","19.9%","12.4%","10.5%","7.4%","17.3%","11.4%","8.9%","6.5%","17.2%","10.2%","8.5%","6.2%","14.8%"
"$25,000 to $34,999","8.8%","7.4%","5.7%","11.5%","9.7%","8.4%","6.6%","12.4%","11.3%","9.9%","8.1%","14.4%","11.3%","9.4%","7.6%","15.1%","11.1%","10.2%","8.4%","13.3%","12.2%","11.4%","9.8%","13.6%","11.5%","10.8%","9.1%","13.4%","11.3%","10.0%","8.4%","14.2%","9.6%","8.7%","7.2%","11.7%"
"$35,000 to $49,999","12.5%","11.6%","10.1%","14.3%","12.9%","12.5%","11.2%","13.6%","15.0%","14.7%","14.1%","15.3%","15.0%","14.5%","13.7%","15.8%","14.6%","14.3%","13.4%","15.1%","15.2%","15.6%","15.6%","13.9%","14.7%","14.4%","13.8%","15.0%","15.0%","14.5%","13.8%","15.8%","13.3%","13.0%","11.9%","14.2%"
"$50,000 to $74,999","17.7%","18.4%","18.3%","16.3%","17.7%","18.6%","19.1%","15.3%","18.9%","21.0%","22.8%","14.1%","19.6%","22.3%","23.9%","13.8%","18.2%","19.6%","21.0%","14.5%","17.5%","19.9%","22.8%","11.3%","18.0%","19.4%","21.2%","13.9%","19.2%","20.9%","22.2%","15.0%","18.0%","18.4%","18.6%","16.2%"
"$75,000 to $99,999","13.0%","15.2%","17.1%","8.4%","12.1%","14.0%","15.9%","7.8%","11.9%","14.8%","17.7%","5.8%","12.4%","15.7%","18.3%","5.6%","11.3%","13.4%","15.9%","6.5%","10.1%","12.7%","16.0%","3.9%","11.1%","13.0%","15.8%","6.0%","12.1%","14.3%","16.6%","6.7%","12.5%","13.8%","15.5%","8.9%"
"$100,000 to $149,999","14.8%","18.7%","22.4%","6.9%","13.4%","16.9%","20.6%","6.1%","10.9%","14.3%","17.9%","3.7%","11.1%","15.0%","18.2%","3.3%","11.1%","13.9%","17.5%","5.2%","8.5%","11.2%","14.6%","2.5%","10.7%","13.2%","16.8%","4.4%","11.6%","14.5%","17.6%","5.0%","14.0%","16.4%","19.7%","7.9%"
"$150,000 to $199,999","5.9%","7.9%","9.9%","2.0%","5.4%","7.1%","9.1%","2.0%","3.3%","4.5%","5.8%","1.0%","3.2%","4.4%","5.4%","0.9%","4.0%","5.2%","6.8%","1.4%","2.5%","3.3%","4.4%","0.7%","3.6%","4.5%","6.0%","1.2%","3.6%","4.6%","5.7%","1.2%","5.6%","6.8%","8.7%","2.5%"
"$200,000 or more","5.8%","8.0%","10.2%","1.8%","5.5%","7.2%","9.5%","2.1%","2.9%","3.9%","5.0%","0.9%","2.7%","3.7%","4.6%","0.8%","3.9%","5.1%","6.7%","1.3%","2.2%","2.9%","3.8%","0.6%","3.3%","4.2%","5.6%","1.2%","3.1%","4.0%","5.1%","1.0%","5.3%","6.6%","8.5%","2.4%"
"Median income (dollars)","59,394","74,460","88,531","34,604","54,835","67,565","81,926","31,957","47,470","59,281","70,724","28,106","48,821","61,663","71,135","28,279","48,133","58,173","70,909","30,399","40,281","50,000","61,607","22,741","46,066","54,680","67,217","28,422","49,366","59,133","68,748","30,997","56,429","65,399","78,451","36,658"
"Mean income (dollars)","80,510","96,512","112,138","49,163","77,102","90,724","106,919","48,183","63,157","74,594","86,870","38,992","63,520","76,073","86,234","38,210","66,550","77,431","91,140","42,744","54,997","64,706","76,747","32,862","63,397","72,469","85,644","40,509","65,002","74,765","85,220","42,594","76,757","86,309","99,915","52,389"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","28.8%","(X)","(X)","(X)","31.8%","(X)","(X)","(X)","27.3%","(X)","(X)","(X)","24.7%","(X)","(X)","(X)","30.1%","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","29.8%","(X)","(X)","(X)","27.9%","(X)","(X)","(X)","28.1%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","29.5%","(X)","(X)","(X)","33.1%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","24.8%","(X)","(X)","(X)","30.7%","(X)","(X)","(X)","29.3%","(X)","(X)","(X)","30.7%","(X)","(X)","(X)","28.1%","(X)","(X)","(X)","28.7%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","26.0%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","25.1%","(X)","(X)","(X)","23.3%","(X)","(X)","(X)","27.4%","(X)","(X)","(X)","25.3%","(X)","(X)","(X)","26.1%","(X)","(X)","(X)","25.5%","(X)","(X)","(X)","24.4%"
