"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,602,713","3,612,772","2,687,959","1,989,941","15,334,389","9,943,437","7,122,719","5,390,952","17,968,451","11,642,754","8,578,587","6,325,697","8,193,028","5,293,670","4,089,829","2,899,358","22,877,936","15,007,297","10,774,029","7,870,639","7,109,313","4,765,314","3,387,283","2,343,999","13,412,178","9,159,620","6,549,819","4,252,558","8,277,942","5,466,686","4,105,739","2,811,256","17,515,083","11,788,913","8,562,844","5,726,170"
"Less than $10,000","6.4%","3.7%","1.1%","12.3%","7.3%","4.4%","1.5%","13.9%","7.9%","5.0%","1.5%","14.6%","6.8%","3.9%","1.3%","13.3%","8.0%","5.2%","2.0%","14.6%","10.0%","6.5%","2.2%","18.5%","8.1%","5.5%","2.0%","15.5%","7.1%","4.7%","2.0%","13.2%","6.4%","4.5%","1.8%","12.1%"
"$10,000 to $14,999","4.9%","2.4%","1.0%","9.8%","5.1%","3.1%","1.6%","9.2%","5.3%","3.1%","1.3%","9.9%","5.2%","2.7%","1.3%","10.3%","5.4%","3.3%","1.7%","10.0%","6.9%","4.4%","2.1%","12.7%","5.7%","3.7%","2.0%","10.5%","5.1%","3.1%","1.8%","9.4%","5.0%","3.3%","1.8%","9.4%"
"$15,000 to $24,999","9.3%","6.2%","3.6%","15.4%","10.0%","7.2%","4.5%","15.7%","11.1%","7.7%","4.8%","18.0%","10.7%","7.1%","4.5%","17.8%","11.2%","8.7%","5.8%","16.5%","13.0%","10.4%","7.0%","19.0%","11.7%","9.5%","6.4%","17.2%","10.9%","8.2%","5.6%","16.8%","9.8%","8.1%","5.7%","13.9%"
"$25,000 to $34,999","8.6%","7.2%","5.2%","11.6%","9.3%","8.0%","6.2%","12.0%","10.8%","9.1%","7.2%","14.3%","10.6%","8.6%","6.6%","14.6%","10.8%","9.8%","7.9%","13.0%","11.6%","10.6%","9.1%","13.6%","10.8%","10.0%","8.2%","12.8%","10.7%","9.5%","7.8%","13.6%","9.2%","8.5%","6.9%","11.1%"
"$35,000 to $49,999","11.5%","10.6%","8.8%","13.5%","12.2%","11.6%","10.1%","13.6%","14.3%","13.7%","12.6%","15.3%","14.5%","13.5%","12.5%","16.2%","14.1%","13.7%","12.6%","14.8%","14.9%","14.8%","14.5%","14.7%","14.2%","13.9%","12.9%","14.7%","14.4%","13.8%","12.7%","15.6%","12.5%","12.2%","11.0%","13.3%"
"$50,000 to $74,999","17.1%","17.3%","17.2%","16.4%","17.0%","17.7%","17.6%","15.4%","18.5%","20.2%","21.6%","14.6%","19.4%","21.3%","22.4%","14.9%","17.9%","19.1%","20.2%","14.7%","17.9%","20.2%","22.8%","12.3%","17.7%","18.6%","19.9%","14.9%","19.0%","20.4%","21.4%","15.4%","17.3%","17.4%","17.7%","16.2%"
"$75,000 to $99,999","12.8%","14.5%","16.0%","8.9%","12.1%","13.8%","15.4%","8.1%","12.2%","14.8%","17.4%","6.6%","12.8%","15.8%","18.2%","6.4%","11.5%","13.4%","15.7%","7.1%","10.5%","13.1%","16.2%","4.6%","11.1%","13.0%","15.4%","6.3%","12.4%","14.6%","16.9%","7.3%","12.2%","13.3%","14.8%","9.2%"
"$100,000 to $149,999","15.4%","19.2%","23.0%","7.4%","14.1%","17.5%","21.3%","7.1%","12.1%","15.8%","19.8%","4.5%","12.5%","16.5%","19.9%","4.3%","11.8%","14.6%","18.2%","5.8%","9.6%","12.4%","16.1%","3.1%","11.9%","14.7%","18.6%","5.0%","12.3%","15.3%","18.6%","5.7%","14.5%","16.8%","20.0%","8.6%"
