"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,812,801","3,646,363","2,730,489","2,166,438","15,852,325","10,106,135","7,263,430","5,746,190","18,550,614","11,607,544","8,564,637","6,943,070","8,555,217","5,396,445","4,179,675","3,158,772","24,595,407","15,950,270","11,578,328","8,645,137","7,401,274","4,813,436","3,478,683","2,587,838","14,385,000","9,702,531","6,958,603","4,682,469","9,193,014","6,015,079","4,541,000","3,177,935","18,457,200","12,356,467","9,075,997","6,100,733"
"    Less than $10,000","5.1%","2.5%","0.9%","10.1%","6.1%","3.3%","1.2%","11.7%","5.9%","3.2%","1.0%","11.3%","5.2%","2.7%","1.0%","10.3%","6.0%","3.4%","1.4%","11.6%","7.5%","4.6%","1.6%","14.2%","6.6%","4.1%","1.5%","13.2%","5.4%","3.1%","1.4%","10.8%","4.6%","2.8%","1.2%","9.4%"
"    $10,000 to $14,999","3.9%","1.7%","0.7%","7.9%","4.0%","2.1%","1.0%","7.6%","4.0%","2.0%","0.9%","7.7%","4.1%","1.8%","0.8%","8.3%","4.0%","2.1%","1.1%","7.8%","5.5%","2.8%","1.3%","10.9%","4.3%","2.5%","1.2%","8.2%","3.6%","1.9%","1.1%","7.1%","3.6%","1.8%","1.0%","7.6%"
"    $15,000 to $24,999","7.1%","4.1%","2.3%","12.8%","7.7%","5.0%","2.9%","13.1%","8.8%","5.4%","2.8%","15.4%","8.2%","4.9%","2.8%","14.7%","8.6%","5.9%","3.5%","14.2%","10.7%","7.5%","4.5%","17.3%","9.3%","7.0%","4.4%","14.7%","7.9%","5.4%","3.4%","13.5%","6.7%","5.0%","3.3%","10.9%"
"    $25,000 to $34,999","6.9%","5.3%","3.2%","10.4%","7.6%","6.0%","4.1%","10.9%","9.1%","7.0%","4.6%","13.3%","8.7%","6.4%","4.4%","13.2%","8.8%","7.5%","5.2%","12.0%","10.3%","9.0%","6.6%","13.2%","9.1%","7.9%","5.8%","12.2%","8.2%","6.7%","4.9%","11.7%","6.9%","6.1%","4.4%","9.4%"
"    $35,000 to $49,999","10.0%","8.6%","6.7%","12.9%","10.6%","9.7%","7.7%","12.9%","12.8%","11.1%","9.2%","15.9%","12.8%","10.8%","9.1%","16.8%","12.6%","11.6%","9.6%","15.0%","13.7%","13.1%","11.6%","15.0%","12.6%","11.7%","9.9%","14.7%","12.3%","11.2%","9.2%","15.1%","10.2%","9.5%","7.7%","12.2%"
"    $50,000 to $74,999","15.4%","14.5%","13.1%","17.0%","15.9%","15.7%","14.5%","16.3%","18.3%","18.6%","18.2%","17.4%","18.8%","18.8%","18.4%","18.1%","17.7%","18.0%","17.5%","16.8%","18.1%","19.4%","20.1%","15.2%","17.8%","17.8%","17.3%","17.2%","18.6%","18.8%","18.1%","18.1%","15.9%","15.5%","14.2%","16.7%"
"    $75,000 to $99,999","12.6%","13.6%","13.8%","10.5%","12.4%","13.5%","14.3%","9.9%","13.1%","15.3%","17.0%","8.6%","13.8%","16.2%","17.8%","8.7%","12.8%","14.4%","15.8%","9.1%","12.0%","14.6%","17.0%","6.4%","12.4%","14.0%","15.8%","8.3%","13.8%","15.5%","16.8%","9.7%","12.8%","13.6%","13.9%","10.6%"
"    $100,000 to $149,999","17.4%","21.1%","23.9%","10.4%","16.3%","19.5%","22.4%","9.8%","15.4%","20.0%","24.1%","6.7%","16.1%","21.0%","24.7%","6.6%","14.9%","18.2%","21.7%","8.0%","12.9%","16.6%","20.8%","5.2%","14.7%","17.8%","21.8%","7.0%","16.3%","19.7%","23.0%","8.5%","17.5%","19.6%","21.9%","12.1%"
"    $150,000 to $199,999","9.4%","12.2%","14.8%","4.1%","8.3%","10.6%","13.0%","3.6%","6.3%","8.6%","10.9%","1.9%","6.3%","8.6%","10.5%","1.8%","6.6%","8.5%","10.7%","2.7%","4.8%","6.5%","8.4%","1.4%","6.4%","8.1%","10.4%","2.3%","6.9%","8.7%","10.6%","2.7%","9.2%","10.9%","13.0%","4.9%"
"    $200,000 or more","12.0%","16.3%","20.6%","4.0%","11.2%","14.6%","18.9%","4.3%","6.3%","8.7%","11.2%","1.9%","6.1%","8.5%","10.6%","1.7%","8.0%","10.5%","13.6%","2.9%","4.5%","6.1%","8.0%","1.3%","6.9%","8.9%","11.8%","2.3%","7.1%","9.1%","11.4%","2.8%","12.6%","15.2%","19.3%","6.1%"
"Median income (dollars)","77,482","99,309","116,933","45,125","71,646","89,614","107,426","41,990","61,687","78,936","93,892","36,774","63,638","81,235","93,106","37,700","62,831","77,064","93,059","38,883","52,274","66,415","80,541","30,568","60,378","72,984","90,091","36,418","66,040","79,343","91,883","41,239","78,692","91,257","107,355","50,428"
"Mean income (dollars)","108,090","131,200","151,439","64,594","103,513","122,983","144,225","64,690","84,246","101,945","118,420","51,310","84,491","102,272","115,928","50,705","88,892","104,509","122,272","56,330","73,053","87,054","102,356","44,184","84,414","98,237","116,187","51,896","88,853","102,985","116,858","57,579","109,691","123,644","142,536","74,660"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
