"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","5,625,489","3,608,201","2,680,752","2,017,288","15,395,970","10,001,588","7,160,095","5,394,382","17,912,373","11,626,689","8,598,749","6,285,684","8,160,316","5,272,194","4,062,183","2,888,122","22,794,714","14,971,876","10,791,695","7,822,838","7,122,784","4,763,993","3,399,612","2,358,791","13,280,958","9,080,522","6,497,656","4,200,436","8,271,105","5,470,169","4,076,130","2,800,936","17,405,831","11,714,030","8,487,578","5,691,801"
"Less than $10,000","6.6%","3.7%","1.1%","12.6%","7.4%","4.6%","1.5%","13.9%","7.9%","5.0%","1.5%","14.4%","6.8%","4.0%","1.3%","13.3%","8.1%","5.4%","1.9%","14.5%","10.3%","6.7%","2.1%","19.0%","8.4%","5.6%","2.0%","16.0%","7.2%","4.9%","2.0%","13.3%","6.5%","4.8%","1.9%","11.9%"
"$10,000 to $14,999","5.1%","2.6%","1.0%","10.1%","5.2%","3.0%","1.5%","9.6%","5.7%","3.2%","1.4%","10.6%","5.5%","2.9%","1.3%","10.9%","5.8%","3.5%","1.8%","10.6%","7.5%","4.5%","2.3%","13.9%","6.1%","4.1%","2.2%","11.2%","5.3%","3.3%","1.8%","9.7%","5.2%","3.3%","1.8%","9.6%"
"$15,000 to $24,999","9.3%","6.3%","3.9%","15.1%","10.2%","7.4%","4.7%","16.0%","11.6%","8.0%","4.9%","18.6%","10.9%","7.5%","4.8%","18.0%","11.5%","9.1%","6.2%","16.9%","13.4%","10.9%","7.6%","19.1%","11.9%","9.9%","6.8%","17.0%","11.2%","8.6%","6.3%","17.0%","10.1%","8.4%","6.0%","14.2%"
"$25,000 to $34,999","8.5%","7.1%","5.3%","11.4%","9.3%","8.2%","6.3%","11.9%","10.8%","9.1%","7.4%","14.2%","10.9%","9.1%","7.3%","14.8%","10.8%","9.8%","8.0%","13.0%","12.0%","10.9%","9.2%","14.1%","11.0%","10.2%","8.5%","12.9%","10.9%","9.7%","8.1%","13.6%","9.3%","8.4%","6.9%","11.2%"
"$35,000 to $49,999","11.8%","10.7%","9.2%","14.2%","12.3%","11.8%","10.3%","13.5%","14.5%","14.0%","13.2%","15.3%","14.7%","13.7%","12.5%","16.4%","14.2%","13.8%","12.9%","14.7%","14.6%","14.9%","14.8%","13.5%","14.1%","13.9%","13.0%","14.5%","14.7%","14.2%","13.2%","15.5%","12.9%","12.5%","11.3%","13.8%"
"$50,000 to $74,999","17.2%","17.4%","17.1%","16.5%","17.4%","18.1%","18.3%","15.6%","18.6%","20.4%","21.9%","14.6%","19.4%","21.4%","22.8%","14.8%","17.9%","19.0%","20.3%","14.8%","17.5%","19.9%","22.6%","11.8%","17.7%","18.9%","20.3%","14.4%","19.1%","20.4%","21.7%","15.6%","17.5%","17.9%","18.1%","16.3%"
"$75,000 to $99,999","12.7%","14.8%","16.3%","8.5%","12.2%","14.1%","15.9%","8.2%","12.2%","15.1%","17.8%","6.1%","12.7%","15.8%","18.5%","6.0%","11.3%","13.4%","15.8%","6.8%","10.4%","13.1%","16.3%","4.5%","11.3%","13.2%","15.8%","6.4%","12.2%","14.4%","16.7%","7.1%","12.2%","13.3%","14.9%","9.1%"
"$100,000 to $149,999","15.4%","19.5%","23.4%","7.3%","13.9%","17.3%","21.1%","6.8%","11.6%","15.4%","19.3%","4.1%","11.9%","15.9%","19.4%","4.0%","11.6%","14.4%","18.0%","5.6%","9.2%","12.1%","15.9%","2.8%","11.4%","14.1%","18.0%","4.8%","12.0%","14.9%","18.1%","5.3%","14.3%","16.6%","20.1%","8.3%"
"$150,000 to $199,999","6.5%","8.5%","10.7%","2.3%","5.9%","7.6%","9.8%","2.2%","3.8%","5.1%","6.6%","1.1%","3.7%","5.1%","6.4%","0.9%","4.4%","5.7%","7.3%","1.7%","2.7%","3.7%","4.9%","0.6%","4.1%","5.1%","6.7%","1.5%","4.0%","5.2%","6.5%","1.5%","6.0%","7.2%","9.1%","2.8%"
"$200,000 or more","6.8%","9.3%","11.9%","2.1%","6.2%","8.0%","10.5%","2.4%","3.4%","4.7%","6.1%","1.0%","3.4%","4.7%","5.8%","1.0%","4.5%","5.9%","7.8%","1.5%","2.4%","3.2%","4.3%","0.7%","3.9%","5.0%","6.7%","1.4%","3.4%","4.4%","5.6%","1.3%","6.1%","7.5%","9.8%","2.8%"
"Median income (dollars)","61,606","78,244","93,156","35,717","56,817","70,488","85,819","33,512","49,608","62,152","74,638","29,274","50,979","64,300","75,045","30,228","49,553","60,130","73,395","30,825","41,374","51,943","64,636","23,671","47,905","57,351","71,216","29,317","50,681","60,793","71,313","31,882","57,452","66,664","80,716","37,565"
"Mean income (dollars)","84,861","101,929","118,963","51,161","80,170","94,214","111,325","50,935","66,345","79,108","92,429","40,460","67,185","80,505","92,037","40,388","69,328","80,809","95,402","44,701","57,259","67,802","80,778","34,078","66,892","76,945","91,288","42,364","67,466","77,639","88,929","44,464","79,725","89,567","104,387","54,935"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","28.6%","(X)","(X)","(X)","32.3%","(X)","(X)","(X)","27.5%","(X)","(X)","(X)","25.4%","(X)","(X)","(X)","30.6%","(X)","(X)","(X)","28.8%","(X)","(X)","(X)","29.9%","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","28.7%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","29.1%","(X)","(X)","(X)","33.4%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","25.3%","(X)","(X)","(X)","30.9%","(X)","(X)","(X)","29.3%","(X)","(X)","(X)","30.7%","(X)","(X)","(X)","28.5%","(X)","(X)","(X)","29.0%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","26.3%","(X)","(X)","(X)","28.6%","(X)","(X)","(X)","25.8%","(X)","(X)","(X)","24.3%","(X)","(X)","(X)","28.5%","(X)","(X)","(X)","26.4%","(X)","(X)","(X)","26.3%","(X)","(X)","(X)","26.4%","(X)","(X)","(X)","25.4%"
