"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,668,308","40,581,915","46,265,747","21,080,926","64,571,303","18,831,334","39,888,372","24,498,250","52,734,523"
"    Male:","7,135,293","19,693,574","22,653,893","10,408,388","31,128,704","9,083,266","19,524,425","12,171,890","26,033,594"
"        Under 6 years:","458,863","1,420,935","1,687,305","826,215","2,276,775","702,697","1,662,022","931,662","1,948,771"
"            With health insurance coverage","447,950","1,373,780","1,616,484","788,727","2,178,785","674,861","1,517,026","876,851","1,894,373"
"            No health insurance coverage","10,913","47,155","70,821","37,488","97,990","27,836","144,996","54,811","54,398"
"        6 to 18 years:","1,125,394","3,230,687","3,933,948","1,855,845","5,319,032","1,627,145","3,798,894","2,214,070","4,466,078"
"            With health insurance coverage","1,095,059","3,113,689","3,747,045","1,760,924","4,957,665","1,544,413","3,353,066","2,033,521","4,292,250"
"            No health insurance coverage","30,335","116,998","186,903","94,921","361,367","82,732","445,828","180,549","173,828"
"        19 to 25 years:","706,907","1,834,812","2,171,193","993,579","2,837,462","871,562","1,912,623","1,172,036","2,457,251"
"            With health insurance coverage","648,399","1,644,479","1,887,239","844,657","2,252,832","709,534","1,374,033","971,023","2,131,454"
"            No health insurance coverage","58,508","190,333","283,954","148,922","584,630","162,028","538,590","201,013","325,797"
"        26 to 34 years:","886,186","2,509,664","2,732,349","1,249,460","3,675,853","1,047,586","2,487,754","1,569,260","3,606,750"
"            With health insurance coverage","787,018","2,170,486","2,323,207","1,057,393","2,800,745","815,635","1,755,222","1,281,675","3,052,882"
"            No health insurance coverage","99,168","339,178","409,142","192,067","875,108","231,951","732,532","287,585","553,868"
"        35 to 44 years:","865,445","2,456,546","2,787,400","1,319,671","3,892,611","1,114,485","2,608,352","1,593,354","3,520,028"
"            With health insurance coverage","788,402","2,175,393","2,447,305","1,160,077","3,111,446","909,083","1,948,928","1,339,588","3,065,911"
