"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,497,789","40,913,332","46,104,577","20,670,669","61,366,588","18,471,732","37,745,752","22,857,103","51,262,880"
"    Male:","7,034,387","19,824,283","22,553,157","10,200,306","29,630,683","8,929,934","18,493,295","11,332,676","25,288,951"
"        Under 6 years:","471,177","1,483,945","1,732,759","836,997","2,276,717","720,175","1,674,509","959,467","2,034,261"
"            With health insurance coverage","457,174","1,429,206","1,658,740","798,552","2,167,272","693,633","1,551,684","893,613","1,952,958"
"            No health insurance coverage","14,003","54,739","74,019","38,445","109,445","26,542","122,825","65,854","81,303"
"        6 to 17 years:","1,069,135","3,064,921","3,738,502","1,698,473","4,776,784","1,502,428","3,370,149","1,970,573","4,132,987"
"            With health insurance coverage","1,040,027","2,933,153","3,565,088","1,603,230","4,422,561","1,426,249","3,013,484","1,795,086","3,882,810"
"            No health insurance coverage","29,108","131,768","173,414","95,243","354,223","76,179","356,665","175,487","250,177"
"        18 to 24 years:","730,389","1,978,531","2,276,144","1,031,229","2,903,544","902,354","1,918,836","1,143,130","2,596,792"
"            With health insurance coverage","653,356","1,677,685","1,879,145","870,584","2,207,821","698,258","1,309,117","881,580","2,059,209"
"            No health insurance coverage","77,033","300,846","396,999","160,645","695,723","204,096","609,719","261,550","537,583"
"        25 to 34 years:","913,464","2,732,421","2,924,017","1,366,113","3,868,175","1,123,168","2,608,624","1,576,257","3,733,671"
"            With health insurance coverage","781,491","2,134,743","2,301,481","1,106,374","2,738,727","812,673","1,758,237","1,172,183","2,821,025"
"            No health insurance coverage","131,973","597,678","622,536","259,739","1,129,448","310,495","850,387","404,074","912,646"
"        35 to 44 years:","862,788","2,506,779","2,824,142","1,245,741","3,777,799","1,137,024","2,418,814","1,454,944","3,362,804"
"            With health insurance coverage","774,145","2,091,893","2,370,032","1,068,799","2,897,955","912,782","1,782,942","1,155,526","2,724,403"
"            No health insurance coverage","88,643","414,886","454,110","176,942","879,844","224,242","635,872","299,418","638,401"
"        45 to 54 years:","1,054,600","2,847,865","3,142,835","1,367,406","4,109,410","1,203,174","2,367,849","1,413,425","3,403,780"
"            With health insurance coverage","973,019","2,510,543","2,776,722","1,221,370","3,378,396","1,014,981","1,854,921","1,181,576","2,890,235"
"            No health insurance coverage","81,581","337,322","366,113","146,036","731,014","188,193","512,928","231,849","513,545"
"        55 to 64 years:","963,155","2,579,712","2,968,613","1,321,893","3,681,056","1,141,772","2,086,348","1,335,858","2,994,265"
"            With health insurance coverage","912,092","2,362,773","2,721,667","1,227,829","3,218,159","1,026,525","1,785,815","1,187,175","2,676,103"
"            No health insurance coverage","51,063","216,939","246,946","94,064","462,897","115,247","300,533","148,683","318,162"
"        65 to 74 years:","595,122","1,578,058","1,801,588","804,745","2,604,833","761,300","1,286,117","917,964","1,848,907"
"            With health insurance coverage","591,724","1,560,239","1,787,650","801,226","2,576,219","758,497","1,266,352","905,460","1,820,257"
"            No health insurance coverage","3,398","17,819","13,938","3,519","28,614","2,803","19,765","12,504","28,650"
"        75 years and over:","374,557","1,052,051","1,144,557","527,709","1,632,365","438,539","762,049","561,058","1,181,484"
"            With health insurance coverage","373,407","1,044,984","1,139,677","526,971","1,621,952","437,308","754,550","556,971","1,172,094"
"            No health insurance coverage","1,150","7,067","4,880","738","10,413","1,231","7,499","4,087","9,390"
"    Female:","7,463,402","21,089,049","23,551,420","10,470,363","31,735,905","9,541,798","19,252,457","11,524,427","25,973,929"
"        Under 6 years:","453,105","1,415,996","1,658,168","790,674","2,183,911","677,747","1,589,433","906,474","1,950,385"
"            With health insurance coverage","442,285","1,363,639","1,592,657","753,677","2,068,314","651,560","1,466,183","841,134","1,871,219"
"            No health insurance coverage","10,820","52,357","65,511","36,997","115,597","26,187","123,250","65,340","79,166"
"        6 to 17 years:","1,025,968","2,952,652","3,580,678","1,629,834","4,579,407","1,438,690","3,239,188","1,884,128","3,969,876"
"            With health insurance coverage","991,978","2,823,032","3,413,621","1,540,636","4,237,418","1,365,433","2,884,129","1,713,634","3,738,668"
"            No health insurance coverage","33,990","129,620","167,057","89,198","341,989","73,257","355,059","170,494","231,208"
"        18 to 24 years:","727,360","1,966,496","2,250,796","1,010,184","2,908,766","909,196","1,886,965","1,112,485","2,512,750"
"            With health insurance coverage","678,738","1,736,962","1,958,152","875,182","2,331,846","754,117","1,369,284","910,929","2,106,372"
"            No health insurance coverage","48,622","229,534","292,644","135,002","576,920","155,079","517,681","201,556","406,378"
"        25 to 34 years:","943,516","2,803,456","2,981,973","1,370,905","4,118,950","1,216,580","2,683,595","1,563,750","3,677,520"
"            With health insurance coverage","864,369","2,393,762","2,575,620","1,176,660","3,232,351","981,219","1,945,188","1,276,039","3,051,143"
"            No health insurance coverage","79,147","409,694","406,353","194,245","886,599","235,361","738,407","287,711","626,377"
"        35 to 44 years:","912,790","2,627,083","2,905,980","1,245,483","4,068,759","1,210,499","2,546,789","1,454,893","3,419,328"
"            With health insurance coverage","858,866","2,327,202","2,564,016","1,098,356","3,337,855","1,015,104","1,923,979","1,210,259","2,904,749"
"            No health insurance coverage","53,924","299,881","341,964","147,127","730,904","195,395","622,810","244,634","514,579"
"        45 to 54 years:","1,119,150","3,024,866","3,264,833","1,395,175","4,406,069","1,296,975","2,483,387","1,450,893","3,483,254"
"            With health insurance coverage","1,054,923","2,733,931","2,937,042","1,268,296","3,706,934","1,119,178","1,984,550","1,237,531","3,019,695"
"            No health insurance coverage","64,227","290,935","327,791","126,879","699,135","177,797","498,837","213,362","463,559"
"        55 to 64 years:","1,040,223","2,803,818","3,160,408","1,371,960","4,140,371","1,262,476","2,257,718","1,433,298","3,204,782"
