"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,923,336","41,530,074","46,592,746","21,315,718","65,387,901","19,144,638","40,465,164","24,920,020","52,632,950"
"    Male:","7,295,094","20,293,817","22,954,843","10,608,671","31,695,858","9,280,981","19,927,031","12,438,988","26,139,538"
"        Under 6 years:","445,494","1,398,341","1,638,454","805,390","2,227,342","697,912","1,620,185","893,721","1,847,491"
"            With health insurance coverage","438,506","1,356,642","1,573,301","768,151","2,118,107","670,660","1,493,607","843,456","1,795,500"
"            No health insurance coverage","6,988","41,699","65,153","37,239","109,235","27,252","126,578","50,265","51,991"
"        6 to 18 years:","1,154,010","3,379,334","4,003,343","1,928,758","5,448,109","1,654,807","3,888,698","2,256,904","4,532,620"
"            With health insurance coverage","1,127,310","3,258,467","3,835,328","1,836,420","5,108,447","1,566,702","3,439,146","2,078,681","4,360,982"
"            No health insurance coverage","26,700","120,867","168,015","92,338","339,662","88,105","449,552","178,223","171,638"
"        19 to 25 years:","688,967","1,777,385","2,146,087","992,633","2,770,154","866,069","1,908,423","1,149,320","2,350,503"
"            With health insurance coverage","647,510","1,602,045","1,886,990","854,403","2,233,594","702,961","1,359,996","952,230","2,053,444"
"            No health insurance coverage","41,457","175,340","259,097","138,230","536,560","163,108","548,427","197,090","297,059"
"        26 to 34 years:","896,700","2,518,973","2,727,864","1,224,137","3,683,809","1,061,440","2,492,234","1,592,028","3,510,985"
"            With health insurance coverage","813,074","2,186,183","2,334,818","1,042,136","2,848,968","834,009","1,768,968","1,298,454","3,034,515"
"            No health insurance coverage","83,626","332,790","393,046","182,001","834,841","227,431","723,266","293,574","476,470"
"        35 to 44 years:","927,689","2,627,418","2,921,515","1,403,603","4,062,479","1,177,375","2,730,659","1,692,504","3,658,586"
"            With health insurance coverage","846,686","2,337,439","2,602,466","1,235,335","3,318,848","978,736","2,064,736","1,433,199","3,217,336"
"            No health insurance coverage","81,003","289,979","319,049","168,268","743,631","198,639","665,923","259,305","441,250"
"        45 to 54 years:","923,209","2,559,795","2,824,273","1,221,255","4,020,107","1,144,990","2,400,185","1,470,833","3,286,943"
"            With health insurance coverage","871,284","2,338,308","2,583,311","1,105,797","3,447,798","995,727","1,908,188","1,273,924","2,946,706"
"            No health insurance coverage","51,925","221,487","240,962","115,458","572,309","149,263","491,997","196,909","340,237"
"        55 to 64 years:","1,046,843","2,787,926","3,080,693","1,382,937","4,179,929","1,220,677","2,305,451","1,460,120","3,192,741"
"            With health insurance coverage","1,007,465","2,624,129","2,876,068","1,282,074","3,736,652","1,098,027","1,946,144","1,316,611","2,967,412"
"            No health insurance coverage","39,378","163,797","204,625","100,863","443,277","122,650","359,307","143,509","225,329"
"        65 to 74 years:","776,373","2,052,325","2,337,697","1,060,989","3,282,379","946,391","1,667,094","1,209,338","2,373,914"
"            With health insurance coverage","772,061","2,032,826","2,322,192","1,055,541","3,251,192","938,821","1,635,647","1,197,710","2,341,489"
"            No health insurance coverage","4,312","19,499","15,505","5,448","31,187","7,570","31,447","11,628","32,425"
"        75 years and over:","435,809","1,192,320","1,274,917","588,969","2,021,550","511,320","914,102","714,220","1,385,755"
"            With health insurance coverage","434,228","1,186,321","1,270,664","587,427","2,011,585","510,788","908,018","711,963","1,377,902"
"            No health insurance coverage","1,581","5,999","4,253","1,542","9,965","532","6,084","2,257","7,853"
"    Female:","7,628,242","21,236,257","23,637,903","10,707,047","33,692,043","9,863,657","20,538,133","12,481,032","26,493,412"
"        Under 6 years:","432,252","1,344,220","1,556,774","758,044","2,116,591","656,813","1,540,524","846,176","1,753,447"
"            With health insurance coverage","425,399","1,301,397","1,494,362","725,282","2,006,201","635,260","1,424,432","789,251","1,705,686"
"            No health insurance coverage","6,853","42,823","62,412","32,762","110,390","21,553","116,092","56,925","47,761"
"        6 to 18 years:","1,102,361","3,210,529","3,834,575","1,815,589","5,240,166","1,613,005","3,709,463","2,155,875","4,323,186"
"            With health insurance coverage","1,075,639","3,098,605","3,671,471","1,728,889","4,917,434","1,533,978","3,308,014","1,991,490","4,163,612"
"            No health insurance coverage","26,722","111,924","163,104","86,700","322,732","79,027","401,449","164,385","159,574"
"        19 to 25 years:","700,375","1,793,447","2,094,306","963,112","2,812,526","864,457","1,886,899","1,122,588","2,306,961"
"            With health insurance coverage","666,815","1,667,003","1,915,894","859,655","2,392,813","747,272","1,436,072","977,210","2,103,251"
"            No health insurance coverage","33,560","126,444","178,412","103,457","419,713","117,185","450,827","145,378","203,710"
"        26 to 34 years:","898,123","2,544,262","2,751,711","1,227,983","3,895,985","1,137,960","2,567,940","1,559,294","3,444,596"
"            With health insurance coverage","849,641","2,347,028","2,511,964","1,101,616","3,299,321","975,813","1,974,377","1,360,162","3,143,016"
"            No health insurance coverage","48,482","197,234","239,747","126,367","596,664","162,147","593,563","199,132","301,580"
"        35 to 44 years:","952,988","2,685,339","2,955,504","1,376,008","4,336,255","1,249,063","2,794,125","1,649,866","3,600,143"
"            With health insurance coverage","911,983","2,490,000","2,727,522","1,253,487","3,761,131","1,095,951","2,216,898","1,457,190","3,287,707"
"            No health insurance coverage","41,005","195,339","227,982","122,521","575,124","153,112","577,227","192,676","312,436"
"        45 to 54 years:","960,742","2,645,350","2,866,496","1,212,847","4,230,250","1,213,187","2,475,234","1,447,996","3,274,015"
"            With health insurance coverage","922,653","2,484,809","2,666,227","1,113,934","3,730,637","1,082,471","2,029,969","1,279,400","2,997,925"
"            No health insurance coverage","38,089","160,541","200,269","98,913","499,613","130,716","445,265","168,596","276,090"
"        55 to 64 years:","1,107,221","2,954,931","3,201,651","1,411,796","4,541,298","1,320,715","2,427,013","1,522,953","3,286,145"
"            With health insurance coverage","1,071,395","2,813,597","3,021,438","1,312,866","4,087,413","1,208,841","2,078,901","1,388,072","3,086,845"
