"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,965,763","41,433,013","46,499,923","21,349,380","66,216,344","19,240,502","40,954,950","25,149,542","52,500,393"
"    Male:","7,337,903","20,285,322","22,986,830","10,632,444","32,160,259","9,346,524","20,223,821","12,567,589","26,142,377"
"        Under 6 years:","448,746","1,368,280","1,598,053","790,138","2,205,535","682,443","1,599,052","860,860","1,760,277"
"            With health insurance coverage","437,817","1,318,080","1,535,571","756,893","2,105,282","654,078","1,487,580","811,667","1,714,856"
"            No health insurance coverage","10,929","50,200","62,482","33,245","100,253","28,365","111,472","49,193","45,421"
"        6 to 18 years:","1,129,616","3,308,811","3,948,285","1,888,906","5,460,289","1,658,740","3,888,967","2,226,864","4,454,107"
"            With health insurance coverage","1,100,415","3,182,913","3,789,042","1,797,406","5,122,899","1,576,064","3,490,699","2,076,901","4,298,592"
"            No health insurance coverage","29,201","125,898","159,243","91,500","337,390","82,676","398,268","149,963","155,515"
"        19 to 25 years:","714,180","1,857,834","2,203,873","1,025,590","2,911,625","898,316","2,017,998","1,249,967","2,406,005"
"            With health insurance coverage","660,682","1,691,248","1,970,001","893,412","2,394,579","744,091","1,489,935","1,052,998","2,131,808"
"            No health insurance coverage","53,498","166,586","233,872","132,178","517,046","154,225","528,063","196,969","274,197"
"        26 to 34 years:","893,169","2,523,650","2,770,631","1,252,152","3,748,599","1,096,615","2,540,771","1,618,993","3,522,993"
"            With health insurance coverage","811,348","2,241,711","2,402,146","1,074,888","2,987,364","880,799","1,849,760","1,334,363","3,055,466"
"            No health insurance coverage","81,821","281,939","368,485","177,264","761,235","215,816","691,011","284,630","467,527"
"        35 to 44 years:","946,468","2,658,717","2,937,614","1,409,545","4,163,317","1,174,746","2,798,830","1,712,974","3,695,708"
"            With health insurance coverage","879,278","2,378,321","2,639,939","1,257,740","3,449,440","988,443","2,159,538","1,478,350","3,282,562"
"            No health insurance coverage","67,190","280,396","297,675","151,805","713,877","186,303","639,292","234,624","413,146"
"        45 to 54 years:","912,888","2,522,314","2,799,740","1,229,913","4,035,687","1,152,381","2,463,367","1,484,547","3,295,939"
"            With health insurance coverage","862,464","2,325,932","2,574,002","1,119,467","3,498,912","1,015,405","1,997,683","1,302,743","2,976,675"
"            No health insurance coverage","50,424","196,382","225,738","110,446","536,775","136,976","465,684","181,804","319,264"
"        55 to 64 years:","1,039,189","2,729,856","3,014,482","1,343,207","4,176,294","1,198,058","2,275,585","1,442,256","3,148,039"
"            With health insurance coverage","997,052","2,576,524","2,827,514","1,250,634","3,764,169","1,086,724","1,973,357","1,307,989","2,936,705"
"            No health insurance coverage","42,137","153,332","186,968","92,573","412,125","111,334","302,228","134,267","211,334"
"        65 to 74 years:","782,878","2,047,568","2,349,667","1,065,600","3,278,691","941,245","1,678,831","1,207,709","2,370,301"
"            With health insurance coverage","776,586","2,026,510","2,332,877","1,059,218","3,242,037","935,732","1,650,094","1,195,847","2,341,081"
"            No health insurance coverage","6,292","21,058","16,790","6,382","36,654","5,513","28,737","11,862","29,220"
"        75 years and over:","470,769","1,268,292","1,364,485","627,393","2,180,222","543,980","960,420","763,419","1,489,008"
"            With health insurance coverage","469,505","1,262,922","1,361,300","625,961","2,171,238","542,727","952,508","760,084","1,479,968"
"            No health insurance coverage","1,264","5,370","3,185","1,432","8,984","1,253","7,912","3,335","9,040"
"    Female:","7,627,860","21,147,691","23,513,093","10,716,936","34,056,085","9,893,978","20,731,129","12,581,953","26,358,016"
"        Under 6 years:","426,076","1,299,862","1,512,723","738,425","2,137,719","656,872","1,525,283","849,851","1,686,313"
"            With health insurance coverage","417,523","1,254,609","1,454,382","707,239","2,040,015","631,494","1,419,967","800,896","1,641,048"
"            No health insurance coverage","8,553","45,253","58,341","31,186","97,704","25,378","105,316","48,955","45,265"
