"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,678,851","40,710,935","46,302,836","21,044,665","64,171,021","18,785,755","39,621,353","24,211,347","52,722,722"
"    Male:","7,132,958","19,747,278","22,698,836","10,398,306","30,973,109","9,082,017","19,427,093","12,026,597","26,050,257"
"        Under 6 years:","457,574","1,435,111","1,694,592","826,383","2,271,805","701,090","1,677,587","941,170","1,994,678"
"            With health insurance coverage","449,845","1,386,143","1,621,882","792,380","2,158,615","674,466","1,558,879","888,133","1,944,667"
"            No health insurance coverage","7,729","48,968","72,710","34,003","113,190","26,624","118,708","53,037","50,011"
"        6 to 18 years:","1,144,195","3,243,873","3,972,156","1,871,598","5,366,933","1,654,409","3,803,920","2,218,937","4,487,392"
"            With health insurance coverage","1,120,197","3,134,923","3,800,881","1,787,679","5,006,136","1,581,855","3,397,752","2,054,190","4,328,211"
"            No health insurance coverage","23,998","108,950","171,275","83,919","360,797","72,554","406,168","164,747","159,181"
"        19 to 25 years:","714,685","1,856,916","2,206,552","999,238","2,823,604","872,767","1,931,217","1,160,990","2,502,712"
"            With health insurance coverage","662,329","1,672,918","1,934,011","859,725","2,243,775","711,173","1,384,756","968,883","2,176,491"
"            No health insurance coverage","52,356","183,998","272,541","139,513","579,829","161,594","546,461","192,107","326,221"
"        26 to 34 years:","877,247","2,517,798","2,715,063","1,254,408","3,691,103","1,045,270","2,470,411","1,536,560","3,592,737"
"            With health insurance coverage","783,039","2,161,544","2,328,266","1,071,018","2,822,230","823,254","1,776,090","1,254,142","3,063,623"
"            No health insurance coverage","94,208","356,254","386,797","183,390","868,873","222,016","694,321","282,418","529,114"
"        35 to 44 years:","855,141","2,456,832","2,788,198","1,302,091","3,865,412","1,113,922","2,561,054","1,559,246","3,484,896"
"            With health insurance coverage","784,897","2,180,320","2,467,084","1,144,690","3,098,747","914,042","1,947,444","1,313,616","3,020,636"
"            No health insurance coverage","70,244","276,512","321,114","157,401","766,665","199,880","613,610","245,630","464,260"
"        45 to 54 years:","965,682","2,618,787","2,912,957","1,250,328","4,052,482","1,159,994","2,376,450","1,426,651","3,328,363"
"            With health insurance coverage","905,972","2,406,941","2,662,880","1,127,866","3,433,470","1,009,951","1,897,792","1,236,871","2,983,492"
"            No health insurance coverage","59,710","211,846","250,077","122,462","619,012","150,043","478,658","189,780","344,871"
"        55 to 64 years:","1,014,950","2,672,496","3,063,004","1,373,229","3,983,197","1,183,925","2,234,012","1,424,209","3,156,452"
"            With health insurance coverage","967,324","2,528,581","2,879,455","1,275,331","3,559,134","1,069,719","1,920,646","1,292,182","2,932,319"
"            No health insurance coverage","47,626","143,915","183,549","97,898","424,063","114,206","313,366","132,027","224,133"
"        65 to 74 years:","687,303","1,793,125","2,081,510","935,701","2,983,963","857,916","1,500,320","1,088,415","2,161,277"
"            With health insurance coverage","684,185","1,778,754","2,068,043","929,647","2,951,780","854,078","1,475,194","1,078,692","2,134,460"
"            No health insurance coverage","3,118","14,371","13,467","6,054","32,183","3,838","25,126","9,723","26,817"
"        75 years and over:","416,181","1,152,340","1,264,804","585,330","1,934,610","492,724","872,122","670,419","1,341,750"
"            With health insurance coverage","415,314","1,147,252","1,260,363","584,214","1,924,042","491,986","862,373","667,926","1,334,212"
"            No health insurance coverage","867","5,088","4,441","1,116","10,568","738","9,749","2,493","7,538"
"    Female:","7,545,893","20,963,657","23,604,000","10,646,359","33,197,912","9,703,738","20,194,260","12,184,750","26,672,465"
"        Under 6 years:","443,672","1,371,950","1,621,511","795,232","2,179,124","670,871","1,621,086","899,020","1,891,697"
"            With health insurance coverage","434,171","1,327,534","1,560,776","761,785","2,074,071","645,402","1,503,362","846,506","1,846,156"
"            No health insurance coverage","9,501","44,416","60,735","33,447","105,053","25,469","117,724","52,514","45,541"
"        6 to 18 years:","1,102,401","3,135,369","3,793,450","1,775,538","5,118,048","1,557,460","3,641,433","2,104,389","4,331,456"
"            With health insurance coverage","1,076,285","3,026,780","3,625,187","1,689,307","4,783,311","1,483,012","3,254,904","1,955,725","4,180,632"
"            No health insurance coverage","26,116","108,589","168,263","86,231","334,737","74,448","386,529","148,664","150,824"
"        19 to 25 years:","702,908","1,854,572","2,137,716","981,022","2,859,824","881,509","1,882,860","1,122,216","2,416,896"
"            With health insurance coverage","666,135","1,720,305","1,944,366","876,517","2,403,437","759,048","1,428,076","977,949","2,189,080"
"            No health insurance coverage","36,773","134,267","193,350","104,505","456,387","122,461","454,784","144,267","227,816"
"        26 to 34 years:","883,777","2,538,203","2,739,001","1,246,955","3,890,341","1,125,040","2,537,369","1,500,456","3,504,972"
"            With health insurance coverage","830,030","2,308,901","2,473,684","1,110,437","3,238,489","958,617","1,939,918","1,293,085","3,169,405"
"            No health insurance coverage","53,747","229,302","265,317","136,518","651,852","166,423","597,451","207,371","335,567"
"        35 to 44 years:","896,067","2,552,941","2,865,884","1,298,977","4,182,327","1,200,669","2,663,607","1,556,015","3,504,974"
"            With health insurance coverage","848,467","2,355,309","2,625,725","1,181,663","3,542,685","1,046,990","2,088,559","1,357,743","3,176,756"
"            No health insurance coverage","47,600","197,632","240,159","117,314","639,642","153,679","575,048","198,272","328,218"
"        45 to 54 years:","1,027,496","2,780,466","3,019,598","1,270,903","4,349,101","1,245,468","2,492,302","1,448,129","3,382,115"
"            With health insurance coverage","982,667","2,610,873","2,816,560","1,166,994","3,796,535","1,100,066","2,040,320","1,286,067","3,101,685"
"            No health insurance coverage","44,829","169,593","203,038","103,909","552,566","145,402","451,982","162,062","280,430"
"        55 to 64 years:","1,096,984","2,903,960","3,260,868","1,440,540","4,476,940","1,314,117","2,422,975","1,527,567","3,355,164"
"            With health insurance coverage","1,055,007","2,768,129","3,079,228","1,349,916","4,016,539","1,201,659","2,098,904","1,394,297","3,150,324"
"            No health insurance coverage","41,977","135,831","181,640","90,624","460,401","112,458","324,071","133,270","204,840"
"        65 to 74 years:","782,681","2,091,866","2,347,511","1,031,340","3,516,395","992,609","1,723,932","1,198,695","2,451,934"
"            With health insurance coverage","778,136","2,073,890","2,331,122","1,027,503","3,478,741","988,109","1,693,195","1,185,258","2,425,455"
"            No health insurance coverage","4,545","17,976","16,389","3,837","37,654","4,500","30,737","13,437","26,479"
"        75 years and over:","609,907","1,734,330","1,818,461","805,852","2,625,812","715,995","1,208,696","828,263","1,833,257"
"            With health insurance coverage","608,354","1,726,229","1,811,978","803,639","2,606,969","714,412","1,195,033","822,670","1,823,180"
"            No health insurance coverage","1,553","8,101","6,483","2,213","18,843","1,583","13,663","5,593","10,077"
