"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,994,035","41,355,929","46,541,884","21,426,761","67,008,680","19,372,185","41,478,460","25,347,110","52,462,953"
"    Male:","7,341,643","20,219,291","22,953,365","10,657,843","32,508,778","9,404,653","20,423,696","12,648,919","26,049,138"
"        Under 6 years:","451,445","1,367,680","1,576,572","769,524","2,238,793","700,484","1,595,637","867,494","1,745,299"
"            With health insurance coverage","441,318","1,320,764","1,511,613","737,204","2,127,672","672,687","1,469,459","815,399","1,699,043"
"            No health insurance coverage","10,127","46,916","64,959","32,320","111,121","27,797","126,178","52,095","46,256"
"        6 to 18 years:","1,126,491","3,303,516","3,978,021","1,911,455","5,540,525","1,667,185","3,949,362","2,222,455","4,438,347"
"            With health insurance coverage","1,096,669","3,172,615","3,807,664","1,822,033","5,178,822","1,579,192","3,503,172","2,058,164","4,276,053"
"            No health insurance coverage","29,822","130,901","170,357","89,422","361,703","87,993","446,190","164,291","162,294"
"        19 to 25 years:","690,156","1,804,398","2,129,341","1,016,402","2,850,491","888,010","1,971,468","1,197,709","2,332,719"
"            With health insurance coverage","640,994","1,626,760","1,894,558","886,817","2,358,602","739,734","1,450,577","1,013,104","2,056,306"
"            No health insurance coverage","49,162","177,638","234,783","129,585","491,889","148,276","520,891","184,605","276,413"
"        26 to 34 years:","895,277","2,473,817","2,759,162","1,246,613","3,776,464","1,088,556","2,555,885","1,643,192","3,455,406"
"            With health insurance coverage","805,824","2,162,692","2,399,793","1,078,409","3,012,976","886,067","1,883,091","1,366,644","3,015,707"
"            No health insurance coverage","89,453","311,125","359,369","168,204","763,488","202,489","672,794","276,548","439,699"
"        35 to 44 years:","970,533","2,681,654","2,940,082","1,410,031","4,252,504","1,201,875","2,857,102","1,732,934","3,735,797"
"            With health insurance coverage","899,578","2,404,227","2,640,796","1,266,911","3,531,424","1,010,012","2,247,496","1,488,346","3,330,332"
"            No health insurance coverage","70,955","277,427","299,286","143,120","721,080","191,863","609,606","244,588","405,465"
"        45 to 54 years:","887,671","2,481,719","2,787,778","1,234,069","4,025,902","1,147,800","2,473,338","1,497,462","3,246,024"
"            With health insurance coverage","835,962","2,284,231","2,572,834","1,140,082","3,519,673","1,012,287","2,016,521","1,316,385","2,924,353"
"            No health insurance coverage","51,709","197,488","214,944","93,987","506,229","135,513","456,817","181,077","321,671"
"        55 to 64 years:","1,021,280","2,687,405","2,954,487","1,316,256","4,177,358","1,180,602","2,280,088","1,433,603","3,121,855"
"            With health insurance coverage","979,949","2,547,888","2,779,738","1,228,795","3,794,118","1,082,776","1,992,503","1,304,372","2,915,658"
"            No health insurance coverage","41,331","139,517","174,749","87,461","383,240","97,826","287,585","129,231","206,197"
"        65 to 74 years:","804,124","2,104,113","2,409,524","1,102,293","3,369,036","962,498","1,729,207","1,248,442","2,425,249"
"            With health insurance coverage","797,478","2,081,848","2,392,090","1,095,760","3,329,983","956,097","1,696,768","1,233,731","2,393,922"
"            No health insurance coverage","6,646","22,265","17,434","6,533","39,053","6,401","32,439","14,711","31,327"
"        75 years and over:","494,666","1,314,989","1,418,398","651,200","2,277,705","567,643","1,011,609","805,628","1,548,442"
"            With health insurance coverage","492,716","1,308,961","1,413,854","649,042","2,265,715","565,961","1,003,188","803,045","1,540,156"
"            No health insurance coverage","1,950","6,028","4,544","2,158","11,990","1,682","8,421","2,583","8,286"
"    Female:","7,652,392","21,136,638","23,588,519","10,768,918","34,499,902","9,967,532","21,054,764","12,698,191","26,413,815"
"        Under 6 years:","424,029","1,306,763","1,513,926","733,247","2,137,750","667,831","1,533,689","829,013","1,655,362"
"            With health insurance coverage","413,322","1,257,905","1,452,235","703,709","2,031,861","642,127","1,412,065","783,978","1,613,902"
"            No health insurance coverage","10,707","48,858","61,691","29,538","105,889","25,704","121,624","45,035","41,460"
"        6 to 18 years:","1,083,757","3,158,176","3,771,022","1,821,373","5,261,834","1,590,920","3,767,737","2,118,746","4,231,783"
"            With health insurance coverage","1,056,733","3,030,597","3,621,291","1,740,628","4,933,245","1,513,347","3,344,114","1,971,002","4,090,620"
"            No health insurance coverage","27,024","127,579","149,731","80,745","328,589","77,573","423,623","147,744","141,163"
"        19 to 25 years:","683,048","1,795,658","2,071,880","973,415","2,881,938","885,445","1,938,730","1,151,725","2,285,541"
"            With health insurance coverage","648,400","1,671,441","1,913,048","879,282","2,492,457","773,267","1,518,031","1,011,596","2,094,574"
"            No health insurance coverage","34,648","124,217","158,832","94,133","389,481","112,178","420,699","140,129","190,967"
"        26 to 34 years:","898,828","2,511,084","2,754,635","1,234,253","3,993,500","1,156,455","2,619,786","1,592,902","3,400,249"
"            With health insurance coverage","846,052","2,320,820","2,532,466","1,127,604","3,437,950","1,029,171","2,096,179","1,411,645","3,130,652"
"            No health insurance coverage","52,776","190,264","222,169","106,649","555,550","127,284","523,607","181,257","269,597"
"        35 to 44 years:","984,139","2,706,033","2,988,778","1,413,528","4,517,087","1,279,634","2,903,144","1,690,545","3,640,145"
"            With health insurance coverage","935,751","2,516,781","2,795,280","1,310,477","3,971,834","1,126,687","2,369,281","1,505,408","3,362,609"
"            No health insurance coverage","48,388","189,252","193,498","103,051","545,253","152,947","533,863","185,137","277,536"
"        45 to 54 years:","926,731","2,566,215","2,814,397","1,212,430","4,257,872","1,218,459","2,550,438","1,480,470","3,241,328"
"            With health insurance coverage","892,287","2,417,422","2,644,923","1,138,416","3,817,341","1,104,766","2,147,536","1,326,078","2,994,079"
"            No health insurance coverage","34,444","148,793","169,474","74,014","440,531","113,693","402,902","154,392","247,249"
"        55 to 64 years:","1,084,932","2,845,510","3,080,433","1,354,276","4,540,744","1,288,931","2,414,607","1,496,870","3,200,290"
"            With health insurance coverage","1,051,354","2,724,447","2,930,466","1,280,290","4,166,187","1,188,138","2,107,124","1,376,740","3,021,612"
"            No health insurance coverage","33,578","121,063","149,967","73,986","374,557","100,793","307,483","120,130","178,678"
"        65 to 74 years:","900,386","2,385,985","2,677,708","1,180,147","3,933,024","1,108,702","1,975,704","1,371,543","2,715,378"
"            With health insurance coverage","894,800","2,362,684","2,658,693","1,174,304","3,890,435","1,101,537","1,939,899","1,358,188","2,685,795"
"            No health insurance coverage","5,586","23,301","19,015","5,843","42,589","7,165","35,805","13,355","29,583"
"        75 years and over:","666,542","1,861,214","1,915,740","846,249","2,976,153","771,155","1,350,929","966,377","2,043,739"
"            With health insurance coverage","663,390","1,851,263","1,909,247","843,618","2,961,113","768,815","1,335,390","962,233","2,030,551"
"            No health insurance coverage","3,152","9,951","6,493","2,631","15,040","2,340","15,539","4,144","13,188"
