"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,270,285","40,333,822","45,800,440","20,202,103","58,749,713","18,107,936","35,764,581","21,801,273","49,257,683"
"    Male:","6,915,503","19,493,755","22,385,240","9,944,388","28,351,873","8,750,175","17,493,778","10,823,318","24,295,597"
"        Under 6 years:","489,446","1,481,743","1,803,564","846,183","2,300,499","735,100","1,651,696","998,932","2,063,326"
"            With health insurance coverage","478,435","1,411,892","1,719,172","798,602","2,135,647","696,459","1,502,229","900,367","1,935,372"
"            No health insurance coverage","11,011","69,851","84,392","47,581","164,852","38,641","149,467","98,565","127,954"
"        6 to 17 years:","1,116,278","3,188,954","3,875,581","1,688,750","4,723,979","1,516,468","3,266,779","1,922,455","4,197,836"
"            With health insurance coverage","1,086,636","3,013,202","3,643,408","1,570,074","4,254,002","1,413,191","2,805,787","1,678,520","3,795,061"
"            No health insurance coverage","29,642","175,752","232,173","118,676","469,977","103,277","460,992","243,935","402,775"
"        18 to 24 years:","704,969","1,983,814","2,236,362","1,007,017","2,802,374","877,040","1,817,087","1,080,055","2,538,477"
"            With health insurance coverage","577,386","1,455,315","1,566,839","744,560","1,772,176","570,276","1,028,136","702,295","1,615,562"
"            No health insurance coverage","127,583","528,499","669,523","262,457","1,030,198","306,764","788,951","377,760","922,915"
"        25 to 34 years:","840,642","2,535,955","2,853,990","1,304,032","3,574,047","1,090,641","2,409,187","1,509,854","3,432,829"
"            With health insurance coverage","674,235","1,816,646","2,010,391","986,575","2,237,652","710,447","1,419,347","1,016,215","2,216,343"
"            No health insurance coverage","166,407","719,309","843,599","317,457","1,336,395","380,194","989,840","493,639","1,216,486"
"        35 to 44 years:","929,985","2,619,251","2,933,703","1,236,608","3,829,726","1,162,625","2,320,081","1,402,397","3,350,350"
