"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,303,570","40,461,158","45,871,121","20,306,009","59,362,817","18,218,586","36,266,101","22,034,735","49,736,588"
"    Male:","6,938,780","19,581,926","22,416,810","9,996,586","28,658,855","8,794,597","17,758,413","10,942,430","24,542,838"
"        Under 6 years:","479,876","1,484,346","1,783,010","837,271","2,307,290","721,730","1,680,186","994,426","2,066,196"
"            With health insurance coverage","469,780","1,421,267","1,705,438","794,224","2,164,212","687,349","1,539,436","896,480","1,945,618"
"            No health insurance coverage","10,096","63,079","77,572","43,047","143,078","34,381","140,750","97,946","120,578"
"        6 to 17 years:","1,104,788","3,153,322","3,829,179","1,684,942","4,705,663","1,512,121","3,286,714","1,924,972","4,164,519"
"            With health insurance coverage","1,073,737","2,989,182","3,624,820","1,568,489","4,248,846","1,410,151","2,856,197","1,676,914","3,802,638"
"            No health insurance coverage","31,051","164,140","204,359","116,453","456,817","101,970","430,517","248,058","361,881"
"        18 to 24 years:","708,892","1,998,467","2,262,623","1,011,393","2,867,079","886,906","1,850,383","1,105,411","2,569,417"
"            With health insurance coverage","610,702","1,569,409","1,703,175","794,643","1,954,917","622,207","1,134,826","758,379","1,741,040"
"            No health insurance coverage","98,190","429,058","559,448","216,750","912,162","264,699","715,557","347,032","828,377"
"        25 to 34 years:","860,207","2,582,543","2,874,248","1,328,467","3,647,490","1,105,872","2,456,405","1,518,047","3,511,934"
"            With health insurance coverage","701,580","1,856,330","2,057,626","1,010,499","2,330,214","732,260","1,464,517","1,024,764","2,288,213"
"            No health insurance coverage","158,627","726,213","816,622","317,968","1,317,276","373,612","991,888","493,283","1,223,721"
"        35 to 44 years:","904,691","2,575,964","2,888,672","1,229,633","3,782,590","1,132,080","2,337,890","1,415,265","3,336,512"
"            With health insurance coverage","793,759","2,074,520","2,320,759","1,018,915","2,760,535","857,624","1,587,288","1,047,042","2,454,591"
"            No health insurance coverage","110,932","501,444","567,913","210,718","1,022,055","274,456","750,602","368,223","881,921"
"        45 to 54 years:","1,100,966","2,955,793","3,307,184","1,452,885","4,153,429","1,265,919","2,395,723","1,444,950","3,443,704"
"            With health insurance coverage","992,249","2,543,369","2,771,984","1,254,513","3,243,816","1,011,841","1,786,318","1,132,695","2,707,495"
"            No health insurance coverage","108,717","412,424","535,200","198,372","909,613","254,078","609,405","312,255","736,209"
"        55 to 64 years:","916,622","2,451,064","2,833,669","1,251,215","3,516,767","1,110,349","1,952,716","1,274,560","2,825,063"
"            With health insurance coverage","854,681","2,210,811","2,526,732","1,135,933","2,982,937","973,412","1,611,135","1,084,412","2,382,784"
"            No health insurance coverage","61,941","240,253","306,937","115,282","533,830","136,937","341,581","190,148","442,279"
"        65 to 74 years:","498,268","1,358,542","1,544,303","692,619","2,197,414","656,751","1,102,655","761,815","1,538,502"
"            With health insurance coverage","495,533","1,338,624","1,530,878","689,275","2,172,447","652,741","1,083,647","752,820","1,512,012"
"            No health insurance coverage","2,735","19,918","13,425","3,344","24,967","4,010","19,008","8,995","26,490"
"        75 years and over:","364,470","1,021,885","1,093,922","508,161","1,481,133","402,869","695,741","502,984","1,086,991"
"            With health insurance coverage","363,443","1,016,582","1,088,645","506,689","1,472,645","401,849","689,682","498,719","1,077,652"
"            No health insurance coverage","1,027","5,303","5,277","1,472","8,488","1,020","6,059","4,265","9,339"
"    Female:","7,364,790","20,879,232","23,454,311","10,309,423","30,703,962","9,423,989","18,507,688","11,092,305","25,193,750"
"        Under 6 years:","460,736","1,423,880","1,709,847","811,209","2,211,291","694,740","1,604,397","934,093","1,964,905"
"            With health insurance coverage","448,328","1,363,225","1,633,654","773,422","2,069,517","661,130","1,468,384","847,100","1,853,690"
"            No health insurance coverage","12,408","60,655","76,193","37,787","141,774","33,610","136,013","86,993","111,215"
"        6 to 17 years:","1,052,157","3,001,470","3,664,279","1,605,388","4,502,253","1,453,833","3,135,746","1,835,885","3,987,869"
"            With health insurance coverage","1,022,188","2,854,118","3,471,119","1,501,285","4,066,004","1,356,379","2,722,535","1,616,454","3,643,562"
"            No health insurance coverage","29,969","147,352","193,160","104,103","436,249","97,454","413,211","219,431","344,307"
"        18 to 24 years:","709,833","1,967,939","2,230,891","1,001,899","2,901,913","902,426","1,830,469","1,079,685","2,490,733"
"            With health insurance coverage","637,848","1,660,079","1,831,808","824,220","2,164,717","691,252","1,212,394","806,833","1,833,933"
"            No health insurance coverage","71,985","307,860","399,083","177,679","737,196","211,174","618,075","272,852","656,800"
"        25 to 34 years:","894,229","2,691,758","2,944,978","1,331,584","3,906,190","1,200,503","2,559,512","1,510,079","3,485,910"
"            With health insurance coverage","806,435","2,206,931","2,404,459","1,095,054","2,873,660","892,873","1,689,992","1,144,095","2,604,982"
"            No health insurance coverage","87,794","484,827","540,519","236,530","1,032,530","307,630","869,520","365,984","880,928"
"        35 to 44 years:","962,598","2,714,310","2,977,381","1,243,586","4,074,087","1,216,274","2,446,042","1,405,404","3,390,995"
"            With health insurance coverage","889,723","2,348,274","2,527,124","1,055,682","3,174,100","978,400","1,736,913","1,108,529","2,682,924"
"            No health insurance coverage","72,875","366,036","450,257","187,904","899,987","237,874","709,129","296,875","708,071"
"        45 to 54 years:","1,164,884","3,144,206","3,454,698","1,487,246","4,451,543","1,351,430","2,522,197","1,483,597","3,528,215"
"            With health insurance coverage","1,079,125","2,773,485","2,976,408","1,315,963","3,601,065","1,116,210","1,939,702","1,210,682","2,866,599"
"            No health insurance coverage","85,759","370,721","478,290","171,283","850,478","235,220","582,495","272,915","661,616"
"        55 to 64 years:","983,867","2,682,834","3,017,911","1,298,339","3,940,390","1,213,362","2,119,110","1,353,655","3,029,552"
"            With health insurance coverage","917,870","2,419,012","2,663,688","1,176,632","3,334,270","1,054,887","1,724,226","1,155,210","2,558,243"
"            No health insurance coverage","65,997","263,822","354,223","121,707","606,120","158,475","394,884","198,445","471,309"
"        65 to 74 years:","573,623","1,628,047","1,776,546","774,604","2,541,504","761,459","1,258,180","831,645","1,742,840"
"            With health insurance coverage","570,271","1,602,760","1,760,926","770,071","2,504,902","758,098","1,237,719","820,346","1,706,112"
"            No health insurance coverage","3,352","25,287","15,620","4,533","36,602","3,361","20,461","11,299","36,728"
"        75 years and over:","562,863","1,624,788","1,677,780","755,568","2,174,791","629,962","1,032,035","658,262","1,572,731"
"            With health insurance coverage","560,303","1,614,179","1,670,758","753,083","2,159,069","628,438","1,021,474","653,090","1,558,830"
"            No health insurance coverage","2,560","10,609","7,022","2,485","15,722","1,524","10,561","5,172","13,901"
