"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"Total:","14,378,022","40,632,585","45,931,914","20,410,865","60,018,650","18,307,450","36,712,738","22,275,778","50,228,458"
"    Male:","6,975,061","19,667,286","22,458,224","10,065,860","28,959,083","8,830,608","17,985,941","11,049,938","24,797,439"
"        Under 6 years:","483,416","1,479,561","1,764,618","839,797","2,308,927","731,573","1,663,071","978,339","2,068,464"
"            With health insurance coverage","472,895","1,417,781","1,693,709","793,312","2,168,584","695,690","1,535,227","885,763","1,961,157"
"            No health insurance coverage","10,521","61,780","70,909","46,485","140,343","35,883","127,844","92,576","107,307"
"        6 to 17 years:","1,085,006","3,119,680","3,799,120","1,686,575","4,689,964","1,501,728","3,310,384","1,933,746","4,151,611"
"            With health insurance coverage","1,052,771","2,972,606","3,596,711","1,582,105","4,278,350","1,411,276","2,900,096","1,698,638","3,792,652"
"            No health insurance coverage","32,235","147,074","202,409","104,470","411,614","90,452","410,288","235,108","358,959"
"        18 to 24 years:","718,213","2,004,328","2,266,300","1,022,275","2,882,963","900,950","1,873,064","1,114,971","2,596,699"
"            With health insurance coverage","620,118","1,625,371","1,747,584","815,730","2,012,629","655,061","1,163,237","785,262","1,804,696"
"            No health insurance coverage","98,095","378,957","518,716","206,545","870,334","245,889","709,827","329,709","792,003"
"        25 to 34 years:","878,087","2,638,258","2,883,607","1,348,513","3,718,077","1,100,892","2,512,957","1,543,119","3,571,745"
"            With health insurance coverage","720,812","1,910,097","2,074,662","1,039,667","2,415,139","747,546","1,531,685","1,041,566","2,348,123"
"            No health insurance coverage","157,275","728,161","808,945","308,846","1,302,938","353,346","981,272","501,553","1,223,622"
"        35 to 44 years:","887,937","2,541,531","2,855,268","1,226,554","3,785,569","1,140,938","2,363,391","1,421,908","3,354,392"
"            With health insurance coverage","783,833","2,054,546","2,298,980","1,018,332","2,772,454","864,268","1,627,412","1,060,593","2,486,368"
"            No health insurance coverage","104,104","486,985","556,288","208,222","1,013,115","276,670","735,979","361,315","868,024"
"        45 to 54 years:","1,089,265","2,919,129","3,263,604","1,423,559","4,138,961","1,233,035","2,385,726","1,428,630","3,420,715"
"            With health insurance coverage","985,204","2,519,273","2,741,748","1,231,156","3,233,895","1,002,699","1,797,006","1,131,240","2,684,465"
"            No health insurance coverage","104,061","399,856","521,856","192,403","905,066","230,336","588,720","297,390","736,250"
"        55 to 64 years:","927,174","2,481,814","2,866,294","1,266,991","3,553,680","1,113,394","1,986,931","1,292,735","2,871,011"
"            With health insurance coverage","860,851","2,231,683","2,553,025","1,155,665","3,007,136","980,620","1,635,492","1,095,752","2,405,887"
"            No health insurance coverage","66,323","250,131","313,269","111,326","546,544","132,774","351,439","196,983","465,124"
"        65 to 74 years:","537,224","1,451,081","1,651,901","737,428","2,358,158","700,848","1,175,618","817,447","1,643,076"
"            With health insurance coverage","533,930","1,434,757","1,639,732","733,617","2,329,672","697,373","1,158,942","807,379","1,613,778"
"            No health insurance coverage","3,294","16,324","12,169","3,811","28,486","3,475","16,676","10,068","29,298"
"        75 years and over:","368,739","1,031,904","1,107,512","514,168","1,522,784","407,250","714,799","519,043","1,119,726"
"            With health insurance coverage","367,391","1,026,002","1,103,427","513,454","1,513,540","406,283","706,941","516,396","1,111,734"
"            No health insurance coverage","1,348","5,902","4,085","714","9,244","967","7,858","2,647","7,992"
"    Female:","7,402,961","20,965,299","23,473,690","10,345,005","31,059,567","9,476,842","18,726,797","11,225,840","25,431,019"
"        Under 6 years:","458,490","1,418,136","1,693,529","803,280","2,203,362","707,173","1,594,973","926,449","1,967,560"
"            With health insurance coverage","445,872","1,361,824","1,617,297","765,019","2,072,950","674,760","1,470,970","840,553","1,854,471"
"            No health insurance coverage","12,618","56,312","76,232","38,261","130,412","32,413","124,003","85,896","113,089"
"        6 to 17 years:","1,043,181","2,990,583","3,622,870","1,603,922","4,530,236","1,434,404","3,164,901","1,849,944","3,968,931"
"            With health insurance coverage","1,012,002","2,846,312","3,444,766","1,499,880","4,114,956","1,351,913","2,768,316","1,626,448","3,636,065"
"            No health insurance coverage","31,179","144,271","178,104","104,042","415,280","82,491","396,585","223,496","332,866"
"        18 to 24 years:","721,073","1,986,712","2,247,666","1,003,110","2,924,855","917,686","1,851,088","1,094,297","2,519,071"
"            With health insurance coverage","656,270","1,707,313","1,871,642","838,646","2,206,416","712,628","1,245,705","822,198","1,893,906"
"            No health insurance coverage","64,803","279,399","376,024","164,464","718,439","205,058","605,383","272,099","625,165"
"        25 to 34 years:","908,570","2,724,133","2,954,098","1,352,771","3,974,251","1,205,005","2,594,626","1,521,348","3,523,273"
"            With health insurance coverage","818,141","2,245,428","2,408,987","1,108,703","2,939,878","915,499","1,720,200","1,152,855","2,648,191"
"            No health insurance coverage","90,429","478,705","545,111","244,068","1,034,373","289,506","874,426","368,493","875,082"
"        35 to 44 years:","941,491","2,677,391","2,939,393","1,235,476","4,062,369","1,208,918","2,470,484","1,419,210","3,395,276"
"            With health insurance coverage","868,155","2,316,065","2,503,885","1,060,811","3,183,446","972,923","1,768,088","1,107,676","2,688,388"
"            No health insurance coverage","73,336","361,326","435,508","174,665","878,923","235,995","702,396","311,534","706,888"
"        45 to 54 years:","1,150,276","3,105,490","3,394,991","1,457,232","4,440,468","1,328,700","2,507,791","1,474,719","3,509,923"
"            With health insurance coverage","1,066,561","2,752,970","2,922,585","1,289,233","3,579,868","1,101,041","1,909,845","1,196,912","2,826,136"
"            No health insurance coverage","83,715","352,520","472,406","167,999","860,600","227,659","597,946","277,807","683,787"
"        55 to 64 years:","1,001,127","2,712,332","3,057,162","1,317,760","3,987,927","1,228,405","2,159,856","1,375,384","3,080,649"
"            With health insurance coverage","936,142","2,452,524","2,704,078","1,195,640","3,363,339","1,067,487","1,747,423","1,166,586","2,591,583"
"            No health insurance coverage","64,985","259,808","353,084","122,120","624,588","160,918","412,433","208,798","489,066"
"        65 to 74 years:","612,058","1,729,745","1,882,561","815,155","2,720,276","809,160","1,338,512","888,612","1,867,033"
"            With health insurance coverage","607,780","1,706,996","1,867,839","810,561","2,682,161","806,596","1,310,954","876,348","1,828,718"
"            No health insurance coverage","4,278","22,749","14,722","4,594","38,115","2,564","27,558","12,264","38,315"
"        75 years and over:","566,695","1,620,777","1,681,420","756,299","2,215,823","637,391","1,044,566","675,877","1,599,303"
"            With health insurance coverage","564,558","1,610,670","1,674,360","755,189","2,197,811","636,198","1,031,828","670,589","1,584,148"
"            No health insurance coverage","2,137","10,107","7,060","1,110","18,012","1,193","12,738","5,288","15,155"
