"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"Total civilian noninstitutionalized population","4,702,769","686,592","14.6%","689,249","136,840","19.9%","6,310,174","1,065,132","16.9%","2,867,611","500,613","17.5%","36,815,569","6,824,913","18.5%","4,956,873","789,109","15.9%","3,519,913","320,133","9.1%","885,232","85,801","9.7%","594,282","45,164","7.6%","18,534,081","3,941,060","21.3%","9,519,836","1,875,566","19.7%","1,315,677","103,764","7.9%","1,551,635","275,404","17.7%","12,673,245","1,745,556","13.8%","6,391,470","947,920","14.8%","3,004,885","279,811","9.3%","2,804,461","389,446","13.9%","4,242,714","647,041","15.3%","4,440,314","790,987","17.8%","1,313,037","133,065","10.1%","5,687,998","640,861","11.3%","6,478,067","285,717","4.4%","9,763,683","1,207,384","12.4%","5,252,092","476,259","9.1%","2,902,907","528,095","18.2%","5,879,864","773,894","13.2%","975,562","168,981","17.3%","1,802,049","207,653","11.5%","2,668,966","603,700","22.6%","1,302,639","145,013","11.1%","8,693,541","1,151,158","13.2%","2,032,699","398,558","19.6%","19,134,281","2,277,382","11.9%","9,360,661","1,569,837","16.8%","660,611","64,535","9.8%","11,358,640","1,398,943","12.3%","3,677,206","693,551","18.9%","3,799,107","651,504","17.1%","12,506,000","1,271,180","10.2%","1,036,743","126,184","12.2%","4,536,835","795,275","17.5%","798,141","98,886","12.4%","6,259,546","898,561","14.4%","24,779,450","5,875,474","23.7%","2,750,354","421,924","15.3%","619,886","49,880","8.0%","7,807,416","1,020,130","13.1%","6,638,081","945,589","14.2%","1,823,372","266,161","14.6%","5,613,402","529,200","9.4%","555,010","82,836","14.9%","3,695,636","296,939","8.0%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","1,133,638","66,958","5.9%","187,984","22,843","12.2%","1,629,931","207,967","12.8%","709,374","46,495","6.6%","9,288,691","832,752","9.0%","1,226,208","124,128","10.1%","815,010","24,114","3.0%","206,046","11,012","5.3%","100,990","2,309","2.3%","3,990,247","506,934","12.7%","2,492,281","244,004","9.8%","303,661","11,116","3.7%","428,296","45,004","10.5%","3,121,719","140,105","4.5%","1,602,320","142,672","8.9%","721,762","29,046","4.0%","725,437","59,783","8.2%","1,018,375","61,180","6.0%","1,113,329","61,718","5.5%","273,098","10,935","4.0%","1,350,011","64,298","4.8%","1,414,746","21,682","1.5%","2,331,475","95,103","4.1%","1,281,022","84,165","6.6%","751,985","63,502","8.4%","1,413,730","88,145","6.2%","221,455","27,558","12.4%","458,869","25,734","5.6%","663,742","115,339","17.4%","285,730","13,679","4.8%","2,057,455","123,456","6.0%","517,658","52,891","10.2%","4,301,661","208,461","4.8%","2,280,649","176,700","7.7%","150,108","9,703","6.5%","2,715,122","161,954","6.0%","929,349","92,521","10.0%","865,362","75,751","8.8%","2,778,233","144,184","5.2%","223,970","12,490","5.6%","1,078,477","101,857","9.4%","200,893","16,695","8.3%","1,493,097","79,244","5.3%","6,876,022","996,493","14.5%","870,383","94,691","10.9%","129,661","2,627","2.0%","1,849,665","121,380","6.6%","1,582,936","101,614","6.4%","385,274","17,518","4.5%","1,334,158","67,110","5.0%","136,229","10,768","7.9%","897,440","38,612","4.3%"
"    18 to 64 years","2,931,536","617,715","21.1%","449,435","112,823","25.1%","3,804,683","847,427","22.3%","1,753,433","453,132","25.8%","23,349,907","5,920,568","25.4%","3,194,530","661,959","20.7%","2,220,078","291,429","13.1%","553,769","74,594","13.5%","426,175","41,936","9.8%","11,335,279","3,388,214","29.9%","6,024,027","1,620,031","26.9%","818,181","89,591","11.0%","930,312","230,075","24.7%","8,001,743","1,585,311","19.8%","3,982,366","801,546","20.1%","1,854,816","249,528","13.5%","1,718,527","328,132","19.1%","2,667,980","584,468","21.9%","2,788,424","725,715","26.0%","836,479","121,908","14.6%","3,650,938","565,952","15.5%","4,199,533","261,580","6.2%","6,106,494","1,108,287","18.1%","3,314,300","389,946","11.8%","1,781,118","463,248","26.0%","3,662,511","682,422","18.6%","611,451","140,991","23.1%","1,108,279","181,214","16.4%","1,682,011","481,603","28.6%","844,551","130,544","15.5%","5,483,966","1,006,001","18.3%","1,245,292","342,047","27.5%","12,307,934","2,041,505","16.6%","5,881,141","1,386,077","23.6%","418,542","54,626","13.1%","7,082,834","1,229,561","17.4%","2,256,812","598,119","26.5%","2,408,752","572,019","23.7%","7,841,082","1,118,912","14.3%","668,429","112,422","16.8%","2,841,495","689,816","24.3%","485,843","81,919","16.9%","3,933,031","813,827","20.7%","15,366,701","4,825,406","31.4%","1,633,509","325,683","19.9%","402,516","47,134","11.7%","5,002,902","888,769","17.8%","4,245,070","837,974","19.7%","1,148,249","247,454","21.6%","3,530,109","459,967","13.0%","350,985","71,603","20.4%","2,259,597","254,412","11.3%"
"    65 years and older","637,595","1,919","0.3%","51,830","1,174","2.3%","875,560","9,738","1.1%","404,804","986","0.2%","4,176,971","71,593","1.7%","536,135","3,022","0.6%","484,825","4,590","0.9%","125,417","195","0.2%","67,117","919","1.4%","3,208,555","45,912","1.4%","1,003,528","11,531","1.1%","193,835","3,057","1.6%","193,027","325","0.2%","1,549,783","20,140","1.3%","806,784","3,702","0.5%","428,307","1,237","0.3%","360,497","1,531","0.4%","556,359","1,393","0.3%","538,561","3,554","0.7%","203,460","222","0.1%","687,049","10,611","1.5%","863,788","2,455","0.3%","1,325,714","3,994","0.3%","656,770","2,148","0.3%","369,804","1,345","0.4%","803,623","3,327","0.4%","142,656","432","0.3%","234,901","705","0.3%","323,213","6,758","2.1%","172,358","790","0.5%","1,152,120","21,701","1.9%","269,749","3,620","1.3%","2,524,686","27,416","1.1%","1,198,871","7,060","0.6%","91,961","206","0.2%","1,560,684","7,428","0.5%","491,045","2,911","0.6%","524,993","3,734","0.7%","1,886,685","8,084","0.4%","144,344","1,272","0.9%","616,863","3,602","0.6%","111,405","272","0.2%","833,418","5,490","0.7%","2,536,727","53,575","2.1%","246,462","1,550","0.6%","87,709","119","0.1%","954,849","9,981","1.0%","810,075","6,001","0.7%","289,849","1,189","0.4%","749,135","2,123","0.3%","67,796","465","0.7%","538,599","3,915","0.7%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","2,264,282","365,053","16.1%","351,120","75,904","21.6%","3,105,385","570,033","18.4%","1,395,533","262,555","18.8%","18,152,479","3,731,998","20.6%","2,462,240","434,638","17.7%","1,704,117","186,254","10.9%","426,205","50,068","11.7%","278,370","27,872","10.0%","8,979,510","2,087,193","23.2%","4,595,689","988,412","21.5%","644,535","59,201","9.2%","772,179","143,207","18.5%","6,188,379","975,912","15.8%","3,132,505","506,927","16.2%","1,483,717","154,948","10.4%","1,379,541","207,356","15.0%","2,065,844","346,955","16.8%","2,146,775","408,635","19.0%","640,864","79,443","12.4%","2,730,888","355,701","13.0%","3,126,920","178,764","5.7%","4,771,428","682,960","14.3%","2,602,043","272,501","10.5%","1,391,938","275,614","19.8%","2,855,555","408,864","14.3%","490,286","89,927","18.3%","889,093","114,034","12.8%","1,338,942","320,815","24.0%","639,624","76,879","12.0%","4,212,072","639,049","15.2%","996,613","210,932","21.2%","9,220,963","1,305,972","14.2%","4,502,110","834,663","18.5%","335,069","38,370","11.5%","5,515,965","766,477","13.9%","1,792,398","362,457","20.2%","1,871,966","351,444","18.8%","6,060,720","700,057","11.6%","499,116","71,196","14.3%","2,176,225","420,505","19.3%","399,370","53,651","13.4%","3,028,111","498,901","16.5%","12,159,072","3,037,898","25.0%","1,377,933","225,411","16.4%","304,862","32,072","10.5%","3,770,982","536,388","14.2%","3,275,497","523,757","16.0%","891,894","138,507","15.5%","2,776,963","311,183","11.2%","279,740","42,856","15.3%","1,765,448","177,414","10.0%"
"    Female","2,438,487","321,539","13.2%","338,129","60,936","18.0%","3,204,789","495,099","15.4%","1,472,078","238,058","16.2%","18,663,090","3,092,915","16.6%","2,494,633","354,471","14.2%","1,815,796","133,879","7.4%","459,027","35,733","7.8%","315,912","17,292","5.5%","9,554,571","1,853,867","19.4%","4,924,147","887,154","18.0%","671,142","44,563","6.6%","779,456","132,197","17.0%","6,484,866","769,644","11.9%","3,258,965","440,993","13.5%","1,521,168","124,863","8.2%","1,424,920","182,090","12.8%","2,176,870","300,086","13.8%","2,293,539","382,352","16.7%","672,173","53,622","8.0%","2,957,110","285,160","9.6%","3,351,147","106,953","3.2%","4,992,255","524,424","10.5%","2,650,049","203,758","7.7%","1,510,969","252,481","16.7%","3,024,309","365,030","12.1%","485,276","79,054","16.3%","912,956","93,619","10.3%","1,330,024","282,885","21.3%","663,015","68,134","10.3%","4,481,469","512,109","11.4%","1,036,086","187,626","18.1%","9,913,318","971,410","9.8%","4,858,551","735,174","15.1%","325,542","26,165","8.0%","5,842,675","632,466","10.8%","1,884,808","331,094","17.6%","1,927,141","300,060","15.6%","6,445,280","571,123","8.9%","537,627","54,988","10.2%","2,360,610","374,770","15.9%","398,771","45,235","11.3%","3,231,435","399,660","12.4%","12,620,378","2,837,576","22.5%","1,372,421","196,513","14.3%","315,024","17,808","5.7%","4,036,434","483,742","12.0%","3,362,584","421,832","12.5%","931,478","127,654","13.7%","2,836,439","218,017","7.7%","275,270","39,980","14.5%","1,930,188","119,525","6.2%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One Race","N","N","N","640,451","125,150","19.5%","6,142,241","1,040,492","16.9%","2,819,018","492,196","17.5%","35,266,941","6,609,645","18.7%","4,788,780","765,417","16.0%","N","N","N","N","N","N","N","N","N","18,133,869","3,863,432","21.3%","9,343,607","1,842,696","19.7%","N","N","N","1,516,264","268,657","17.7%","12,433,667","1,719,113","13.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,565,601","581,908","22.7%","N","N","N","N","N","N","N","N","N","18,628,957","2,206,360","11.8%","9,148,560","1,531,308","16.7%","N","N","N","N","N","N","3,385,259","624,722","18.5%","3,663,567","629,218","17.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","24,241,065","5,768,709","23.8%","2,685,852","412,270","15.3%","N","N","N","N","N","N","6,339,153","902,820","14.2%","N","N","N","N","N","N","N","N","N","N","N","N"
